segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_02_ダ_中距離,joken_class_code+da_tekisei_code+ls_shisu_juni+kyori_tekisei,joken_class_code,da_tekisei_code,ls_shisu_juni,kyori_tekisei,6,1209,66.75,8.76,59.74,False
COURSE_27_02_ダ_中距離,omo_tekisei_code+da_tekisei_code+ls_shisu_juni+class_code,omo_tekisei_code,da_tekisei_code,ls_shisu_juni,class_code,6,1123,68.3,10.9,59.58,False
COURSE_27_02_ダ_中距離,joken_class_code+hizume_code+da_tekisei_code+kyori_tekisei,joken_class_code,hizume_code,da_tekisei_code,kyori_tekisei,3,377,68.4,7.88,59.49,False
COURSE_27_02_ダ_中距離,joken_class_code+da_tekisei_code+kyakushitsu+kyori_tekisei,joken_class_code,da_tekisei_code,kyakushitsu,kyori_tekisei,10,1351,68.87,15.76,59.1,False
COURSE_27_02_ダ_中距離,da_tekisei_code+kyakushitsu+ls_shisu_juni+class_code,da_tekisei_code,kyakushitsu,ls_shisu_juni,class_code,5,834,64.46,6.28,58.95,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+ls_shisu_juni+class_code,joken_class_code,omo_tekisei_code,ls_shisu_juni,class_code,7,1492,67.73,11.92,58.9,False
COURSE_27_02_ダ_中距離,joken_class_code+ls_shisu_juni+class_code+kyori_tekisei,joken_class_code,ls_shisu_juni,class_code,kyori_tekisei,6,1288,68.63,12.31,58.78,False
COURSE_27_02_ダ_中距離,da_tekisei_code+ls_shisu_juni+class_code+kyori_tekisei,da_tekisei_code,ls_shisu_juni,class_code,kyori_tekisei,6,1080,65.25,8.42,58.52,False
COURSE_27_02_ダ_中距離,hizume_code+omo_tekisei_code+da_tekisei_code+class_code,hizume_code,omo_tekisei_code,da_tekisei_code,class_code,4,439,72.38,14.3,58.37,False
COURSE_27_02_ダ_中距離,joken_class_code+hizume_code+omo_tekisei_code+class_code,joken_class_code,hizume_code,omo_tekisei_code,class_code,4,562,73.22,15.59,57.94,False
COURSE_27_02_ダ_中距離,joken_class_code+hizume_code+class_code+kyori_tekisei,joken_class_code,hizume_code,class_code,kyori_tekisei,5,633,68.32,11.9,57.89,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+ls_shisu_juni+kyori_tekisei,joken_class_code,omo_tekisei_code,ls_shisu_juni,kyori_tekisei,7,1072,67.84,13.53,57.82,False
COURSE_27_02_ダ_中距離,joken_class_code+kyakushitsu+ls_shisu_juni+kyori_tekisei,joken_class_code,kyakushitsu,ls_shisu_juni,kyori_tekisei,5,630,64.3,7.44,57.77,False
COURSE_27_02_ダ_中距離,joken_class_code+hizume_code+da_tekisei_code+ls_shisu_juni,joken_class_code,hizume_code,da_tekisei_code,ls_shisu_juni,5,629,66.8,10.37,57.71,False
COURSE_27_02_ダ_中距離,joken_class_code+da_tekisei_code+rotation+kyori_tekisei,joken_class_code,da_tekisei_code,rotation,kyori_tekisei,4,496,76.6,20.35,56.65,False
COURSE_27_02_ダ_中距離,joken_class_code+kyakushitsu+class_code+kyori_tekisei,joken_class_code,kyakushitsu,class_code,kyori_tekisei,8,1212,64.98,13.27,55.78,False
COURSE_27_02_ダ_中距離,omo_tekisei_code+da_tekisei_code+kyakushitsu+class_code,omo_tekisei_code,da_tekisei_code,kyakushitsu,class_code,5,753,64.5,10.16,55.59,False
COURSE_27_02_ダ_中距離,joken_class_code+hizume_code+ls_shisu_juni+class_code,joken_class_code,hizume_code,ls_shisu_juni,class_code,5,700,70.03,16.63,55.46,False
COURSE_27_02_ダ_中距離,hizume_code+omo_tekisei_code+da_tekisei_code+ls_shisu_juni,hizume_code,omo_tekisei_code,da_tekisei_code,ls_shisu_juni,3,329,71.23,15.09,54.15,False
COURSE_27_02_ダ_中距離,joken_class_code+omo_tekisei_code+uma_deokure_ritsu+kyori_tekisei,joken_class_code,omo_tekisei_code,uma_deokure_ritsu,kyori_tekisei,4,424,73.78,20.34,53.84,False
COURSE_27_02_ダ_中距離,hizume_code+da_tekisei_code+ls_shisu_juni+class_code,hizume_code,da_tekisei_code,ls_shisu_juni,class_code,3,369,61.14,7.72,52.4,False
COURSE_27_02_ダ_中距離,joken_class_code+uma_deokure_ritsu+kyakushitsu+class_code,joken_class_code,uma_deokure_ritsu,kyakushitsu,class_code,3,417,68.2,15.68,50.45,False
COURSE_27_02_ダ_中距離,omo_tekisei_code+kyakushitsu+ls_shisu_juni+class_code,omo_tekisei_code,kyakushitsu,ls_shisu_juni,class_code,3,429,60.95,10.04,49.59,False
COURSE_27_02_ダ_中距離,joken_class_code+uma_deokure_ritsu+da_tekisei_code+kyori_tekisei,joken_class_code,uma_deokure_ritsu,da_tekisei_code,kyori_tekisei,4,571,67.07,17.85,49.58,False
COURSE_27_02_ダ_中距離,omo_tekisei_code+ls_shisu_juni+class_code+kyori_tekisei,omo_tekisei_code,ls_shisu_juni,class_code,kyori_tekisei,4,617,68.58,20.1,48.88,False
COURSE_27_02_ダ_中距離,joken_class_code+uma_deokure_ritsu+ls_shisu_juni+kyori_tekisei,joken_class_code,uma_deokure_ritsu,ls_shisu_juni,kyori_tekisei,3,386,67.6,17.17,48.17,False
COURSE_27_02_ダ_中距離,joken_class_code+uma_deokure_ritsu+class_code+kyori_tekisei,joken_class_code,uma_deokure_ritsu,class_code,kyori_tekisei,3,515,64.16,14.59,47.65,False
COURSE_27_02_ダ_中距離,uma_deokure_ritsu+da_tekisei_code+class_code+kyori_tekisei,uma_deokure_ritsu,da_tekisei_code,class_code,kyori_tekisei,3,400,60.54,11.4,47.63,False
COURSE_27_02_ダ_中距離,da_tekisei_code+kyakushitsu+class_code+kyori_tekisei,da_tekisei_code,kyakushitsu,class_code,kyori_tekisei,5,691,59.05,13.28,47.42,False
COURSE_27_02_ダ_中距離,joken_class_code+rotation+class_code+kyori_tekisei,joken_class_code,rotation,class_code,kyori_tekisei,3,419,70.92,20.96,47.21,False
COURSE_27_02_ダ_中距離,uma_deokure_ritsu+da_tekisei_code+ls_shisu_juni+kyori_tekisei,uma_deokure_ritsu,da_tekisei_code,ls_shisu_juni,kyori_tekisei,3,396,63.3,19.33,41.43,False
