segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
SURFACE_2_芝_OP重賞,manken_shisu_decile+ninki_shisu_decile,manken_shisu_decile,ninki_shisu_decile,49,13619,70.61,16.02,66.13,False
SURFACE_2_芝_OP重賞,ichi_shisu_juni+sogo_shisu_decile,ichi_shisu_juni,sogo_shisu_decile,34,13711,69.98,11.47,66.13,False
SURFACE_2_芝_OP重賞,omo_tekisei_code+umakigo_code,omo_tekisei_code,umakigo_code,7,15553,72.71,8.89,66.12,False
SURFACE_2_芝_OP重賞,rotation_bin+sogo_shisu_decile,rotation_bin,sogo_shisu_decile,20,14850,70.2,9.31,66.12,False
SURFACE_2_芝_OP重賞,class_code+kyuyo_riyu_bunrui_code,class_code,kyuyo_riyu_bunrui_code,6,4237,72.85,8.41,66.12,False
SURFACE_2_芝_OP重賞,ls_shisu_juni+ninki_shisu_decile,ls_shisu_juni,ninki_shisu_decile,49,14187,69.67,12.71,66.11,False
SURFACE_2_芝_OP重賞,uma_start_shisu_decile+ninki_shisu_decile,uma_start_shisu_decile,ninki_shisu_decile,56,14541,69.96,14.71,66.11,False
SURFACE_2_芝_OP重賞,kyakushitsu+kijun_ninkijun_tansho,kyakushitsu,kijun_ninkijun_tansho,55,15047,71.01,18.7,66.06,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+shiba_tekisei_code,kyusha_hyoka_code,shiba_tekisei_code,7,15456,74.16,10.94,66.05,False
SURFACE_2_芝_OP重賞,joho_shisu_decile+ninki_shisu_decile,joho_shisu_decile,ninki_shisu_decile,29,15339,70.24,11.54,66.04,False
SURFACE_2_芝_OP重賞,ls_shisu_juni+idm_decile,ls_shisu_juni,idm_decile,20,14396,70.99,11.29,66.04,False
SURFACE_2_芝_OP重賞,kyakushitsu+kyusha_shisu_decile,kyakushitsu,kyusha_shisu_decile,40,15771,69.61,11.57,66.03,False
SURFACE_2_芝_OP重賞,kyori_tekisei_2+idm_decile,kyori_tekisei_2,idm_decile,7,7483,71.61,7.54,66.03,False
SURFACE_2_芝_OP重賞,hizume_code+kishu_kitai_tansho_decile,hizume_code,kishu_kitai_tansho_decile,49,12621,69.99,14.22,66.01,False
SURFACE_2_芝_OP重賞,hizume_code+ninki_shisu_decile,hizume_code,ninki_shisu_decile,49,12809,70.31,15.42,66.0,False
SURFACE_2_芝_OP重賞,kyori_kubun+kijun_ninkijun_tansho,kyori_kubun,kijun_ninkijun_tansho,53,14917,69.53,13.11,66.0,False
SURFACE_2_芝_OP重賞,idm_decile+kyusha_shisu_decile,idm_decile,kyusha_shisu_decile,25,14460,70.1,10.5,65.98,False
SURFACE_2_芝_OP重賞,tenkai_kigo_code+shiba_tekisei_code,tenkai_kigo_code,shiba_tekisei_code,11,15373,71.92,10.13,65.94,False
SURFACE_2_芝_OP重賞,bataiju_zogen+kishu_shisu_decile,bataiju_zogen,kishu_shisu_decile,62,11403,69.56,14.57,65.93,False
SURFACE_2_芝_OP重賞,class_code+chokyo_shisu_decile,class_code,chokyo_shisu_decile,40,13435,70.07,13.45,65.9,False
SURFACE_2_芝_OP重賞,idm_decile+kyori_tekisei,idm_decile,kyori_tekisei,15,15259,71.58,11.22,65.9,False
SURFACE_2_芝_OP重賞,joho_shisu_decile+kyori_tekisei,joho_shisu_decile,kyori_tekisei,20,15321,70.61,10.8,65.87,False
SURFACE_2_芝_OP重賞,omo_tekisei_code+kishu_shisu_decile,omo_tekisei_code,kishu_shisu_decile,29,15627,70.37,12.4,65.86,False
SURFACE_2_芝_OP重賞,kijun_ninkijun_tansho+kyori_tekisei,kijun_ninkijun_tansho,kyori_tekisei,45,14713,70.39,15.53,65.86,False
SURFACE_2_芝_OP重賞,uma_deokure_bin+da_tekisei_code,uma_deokure_bin,da_tekisei_code,9,2731,70.26,6.75,65.85,False
SURFACE_2_芝_OP重賞,kishu_kitai_rentai_decile+kyori_tekisei,kishu_kitai_rentai_decile,kyori_tekisei,29,14976,70.14,11.81,65.84,False
SURFACE_2_芝_OP重賞,omo_tekisei_code+kishu_kitai_tansho_decile,omo_tekisei_code,kishu_kitai_tansho_decile,27,15451,70.6,12.69,65.82,False
SURFACE_2_芝_OP重賞,bataiju_zogen+chokyo_shisu_decile,bataiju_zogen,chokyo_shisu_decile,62,11204,69.48,14.81,65.79,False
SURFACE_2_芝_OP重賞,manken_shirushi+idm_decile,manken_shirushi,idm_decile,15,8211,71.72,11.73,65.79,False
SURFACE_2_芝_OP重賞,agari_shisu_juni+kishu_kitai_rentai_decile,agari_shisu_juni,kishu_kitai_rentai_decile,68,10614,69.49,15.75,65.75,False
SURFACE_2_芝_OP重賞,keibajo_code+kishu_kitai_rentai_decile,keibajo_code,kishu_kitai_rentai_decile,58,13296,69.6,15.32,65.66,False
SURFACE_2_芝_OP重賞,kyakushitsu+kishu_kitai_rentai_decile,kyakushitsu,kishu_kitai_rentai_decile,39,15700,71.78,19.49,65.66,False
SURFACE_2_芝_OP重賞,kijun_ninkijun_tansho+shiba_tekisei_code,kijun_ninkijun_tansho,shiba_tekisei_code,29,14851,70.3,12.77,65.65,False
SURFACE_2_芝_OP重賞,class_code+ninki_shisu_decile,class_code,ninki_shisu_decile,37,13541,70.15,14.07,65.61,False
SURFACE_2_芝_OP重賞,kyakushitsu+umakigo_code,kyakushitsu,umakigo_code,9,15456,72.39,10.39,65.6,False
SURFACE_2_芝_OP重賞,omo_tekisei_code+kyusha_shisu_decile,omo_tekisei_code,kyusha_shisu_decile,30,15664,69.28,10.3,65.59,False
SURFACE_2_芝_OP重賞,kishu_shisu_decile+chokyo_shisu_decile,kishu_shisu_decile,chokyo_shisu_decile,46,14468,69.73,14.31,65.59,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+chokyo_shisu_decile,kyusha_hyoka_code,chokyo_shisu_decile,15,15320,70.86,10.41,65.59,False
SURFACE_2_芝_OP重賞,joho_shisu_decile+sogo_shisu_decile,joho_shisu_decile,sogo_shisu_decile,17,14856,69.94,9.15,65.59,False
SURFACE_2_芝_OP重賞,class_code+sogo_shisu_decile,class_code,sogo_shisu_decile,17,14486,71.1,11.7,65.54,False
SURFACE_2_芝_OP重賞,kyori_tekisei_2+kishu_kitai_rentai_decile,kyori_tekisei_2,kishu_kitai_rentai_decile,26,7520,69.87,11.3,65.53,False
SURFACE_2_芝_OP重賞,kyori_tekisei_2+kyusha_shisu_decile,kyori_tekisei_2,kyusha_shisu_decile,28,7610,70.19,12.61,65.52,False
SURFACE_2_芝_OP重賞,kyakushitsu+da_tekisei_code,kyakushitsu,da_tekisei_code,8,2835,71.23,8.25,65.52,False
SURFACE_2_芝_OP重賞,kyuyo_riyu_bunrui_code+kijun_ninkijun_tansho,kyuyo_riyu_bunrui_code,kijun_ninkijun_tansho,14,4246,70.66,9.84,65.5,False
SURFACE_2_芝_OP重賞,umakigo_code+kishu_kitai_tansho_decile,umakigo_code,kishu_kitai_tansho_decile,11,14813,72.42,11.84,65.43,False
SURFACE_2_芝_OP重賞,kishu_shisu_decile+umakigo_code,kishu_shisu_decile,umakigo_code,10,14679,71.14,9.29,65.38,False
SURFACE_2_芝_OP重賞,joho_shisu_decile+umakigo_code,joho_shisu_decile,umakigo_code,9,15203,71.7,9.69,65.37,False
SURFACE_2_芝_OP重賞,kyori_tekisei_2+ninki_shisu_decile,kyori_tekisei_2,ninki_shisu_decile,24,7462,69.8,11.09,65.36,False
SURFACE_2_芝_OP重賞,joho_shisu_decile+shiba_tekisei_code,joho_shisu_decile,shiba_tekisei_code,13,15391,71.16,10.71,65.34,False
SURFACE_2_芝_OP重賞,hizume_code+kishu_kitai_rentai_decile,hizume_code,kishu_kitai_rentai_decile,50,12629,69.66,15.58,65.34,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+da_tekisei_code,kyusha_hyoka_code,da_tekisei_code,4,2954,75.24,10.11,65.33,False
SURFACE_2_芝_OP重賞,tenkai_kigo_code+da_tekisei_code,tenkai_kigo_code,da_tekisei_code,8,2732,71.94,9.54,65.33,False
SURFACE_2_芝_OP重賞,umakigo_code+kijun_ninkijun_tansho,umakigo_code,kijun_ninkijun_tansho,16,14547,70.72,11.11,65.27,False
SURFACE_2_芝_OP重賞,kishu_shisu_decile+shiba_tekisei_code,kishu_shisu_decile,shiba_tekisei_code,19,15084,70.59,11.86,65.26,False
SURFACE_2_芝_OP重賞,kishu_kitai_tansho_decile+shiba_tekisei_code,kishu_kitai_tansho_decile,shiba_tekisei_code,19,15091,70.07,10.84,65.2,False
SURFACE_2_芝_OP重賞,tenkai_kigo_code+kyuyo_riyu_bunrui_code,tenkai_kigo_code,kyuyo_riyu_bunrui_code,7,4698,71.47,8.51,65.17,False
SURFACE_2_芝_OP重賞,kyori_tekisei_2+kishu_kitai_tansho_decile,kyori_tekisei_2,kishu_kitai_tansho_decile,26,7545,69.42,11.08,65.16,False
SURFACE_2_芝_OP重賞,kishu_shisu_decile+kishu_kitai_rentai_decile,kishu_shisu_decile,kishu_kitai_rentai_decile,17,15651,69.66,9.56,65.11,False
SURFACE_2_芝_OP重賞,kyori_kubun+kishu_kitai_rentai_decile,kyori_kubun,kishu_kitai_rentai_decile,38,15649,70.08,15.75,65.08,False
SURFACE_2_芝_OP重賞,agari_shisu_juni+kishu_shisu_decile,agari_shisu_juni,kishu_shisu_decile,69,10368,68.57,14.88,65.06,False
SURFACE_2_芝_OP重賞,kyori_kubun+shiba_tekisei_code,kyori_kubun,shiba_tekisei_code,10,15379,70.49,8.78,65.05,False
SURFACE_2_芝_OP重賞,kyori_kubun+chokyo_shisu_decile,kyori_kubun,chokyo_shisu_decile,38,15612,68.78,11.83,65.01,False
SURFACE_2_芝_OP重賞,idm_decile+kishu_kitai_rentai_decile,idm_decile,kishu_kitai_rentai_decile,25,14467,69.82,12.33,64.98,False
SURFACE_2_芝_OP重賞,kyuyo_riyu_bunrui_code+kishu_kitai_rentai_decile,kyuyo_riyu_bunrui_code,kishu_kitai_rentai_decile,10,4415,70.98,9.71,64.96,False
SURFACE_2_芝_OP重賞,kyakushitsu+kishu_kitai_tansho_decile,kyakushitsu,kishu_kitai_tansho_decile,37,15536,71.27,19.64,64.94,False
SURFACE_2_芝_OP重賞,da_tekisei_code+kyusha_shisu_decile,da_tekisei_code,kyusha_shisu_decile,15,2385,71.01,12.11,64.88,False
SURFACE_2_芝_OP重賞,kyori_kubun+da_tekisei_code,kyori_kubun,da_tekisei_code,9,2978,69.94,7.77,64.86,False
