factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kyusha_hyoka_code,厩舎評価,code,4,15771,76.92,3.76,73.23,False
manken_shirushi,万券印,code,8,9510,75.64,3.91,72.93,False
class_code,クラスコード,code,9,15536,75.81,4.43,72.92,False
pace_yoso,ペース予想,code,3,15771,74.89,1.76,72.89,False
keibajo_code,競馬場,code,10,15771,73.35,1.17,72.63,False
kyori_kubun,距離区分,code,4,15771,73.8,1.35,72.48,False
joho_shisu,情報指数,numeric,42,15270,75.26,9.47,72.4,False
uma_start_shisu,馬スタート指数,numeric,18,15206,75.06,6.01,72.28,False
nyukyu_nannichimae,入厩何日前,numeric,24,9373,74.73,6.57,72.1,False
ichi_shisu,位置指数,numeric,85,11152,74.15,10.51,71.92,False
kishu_shisu,騎手指数,numeric,28,15288,75.41,9.65,71.83,False
gekiso_shisu,激走指数,numeric,73,9283,74.59,12.22,71.78,False
rotation,ローテーション,numeric,21,14947,74.77,7.07,71.74,False
ls_shisu_juni,LS指数順位,numeric,9,15694,75.3,6.44,71.09,False
tenkai_kigo_code,展開記号,code,5,15771,74.82,4.55,70.84,False
omo_tekisei_code,重適性,code,3,15664,73.27,2.45,70.5,False
manken_shisu,万券指数,numeric,45,14481,73.07,9.95,70.16,False
uma_deokure_ritsu,馬出遅率,numeric,34,14350,72.25,6.83,69.95,False
ten_shisu_juni,テン指数順位,numeric,18,15771,72.55,5.7,69.91,False
agari_shisu_juni,上がり指数順位,numeric,18,15771,72.08,6.32,69.16,False
kyori_tekisei_2,距離適性2,code,3,7763,72.88,3.44,68.99,False
ichi_shisu_juni,位置指数順位,numeric,18,15771,72.83,8.78,68.78,False
hizume_code,蹄コード,code,12,15421,72.41,6.42,68.78,False
idm,IDM指数,numeric,39,10025,71.73,9.8,68.66,False
pace_shisu_juni,ペース指数順位,numeric,18,15771,71.51,6.58,68.47,False
kyuyo_riyu_bunrui_code,休養理由,code,3,4883,72.02,3.45,68.11,False
kyakushitsu,脚質,code,4,15771,73.64,6.36,67.41,False
gekiso_juni,激走順位,numeric,18,15771,70.38,7.97,66.69,False
da_tekisei_code,ダ適性,code,3,3097,73.6,6.34,66.42,False
umakigo_code,馬記号,code,3,15667,71.09,4.36,66.16,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,28,6140,71.02,13.7,65.94,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,15628,71.09,10.96,65.72,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,39,9008,69.01,12.1,65.22,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,31,5327,67.33,12.75,62.84,False
kyori_tekisei,距離適性,code,5,15704,71.02,9.91,62.34,False
sogo_shisu,総合指数,numeric,16,1858,68.03,13.06,61.63,False
chokyo_shisu,調教指数,numeric,14,2220,68.3,13.82,61.06,False
shiba_tekisei_code,芝適性,code,3,15516,67.17,12.42,53.12,False
kyusha_shisu,厩舎指数,numeric,8,1101,57.69,17.74,45.4,False
