phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi,split_factor,sub_bins_count,sub_bins_sizes,noise_bins_count,noise_ratio
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_tekisei+uma_deokure_ritsu+kyakushitsu,2|5|0.0|2,314,314,15.92,65.99,102.06,314,40.45,88.5,96.73,80.8,88.75,class_code,17,"75,45,33,31,23,21,21,20,11,9,6,6,5,5,1,1,1",16,94.1
4,COURSE_27_東京U字_芝,kyori_tekisei_2+uma_deokure_ritsu+kyori_tekisei+shiba_tekisei_code,2|0.0|5|2,397,397,15.11,64.13,88.24,397,41.31,93.38,93.88,81.42,87.86,class_code,17,"127,71,63,33,30,17,17,14,8,3,3,3,3,2,1,1,1",14,82.4
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+omo_tekisei_code+kyori_tekisei+uma_deokure_ritsu,2|2|5|0.0,387,387,13.44,66.38,89.56,387,39.53,92.45,93.55,87.14,89.45,class_code,18,"93,56,53,39,29,20,17,15,13,11,11,11,8,5,2,2,1,1",15,83.3
4,COURSE_27_東京U字_芝,kyori_tekisei_2+omo_tekisei_code+uma_deokure_ritsu+kyori_tekisei,2|2|0.0|5,383,383,13.05,65.56,87.56,383,39.16,92.3,93.19,87.63,90.5,class_code,18,"92,55,52,39,28,20,17,15,13,11,11,11,8,5,2,2,1,1",15,83.3
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+umakigo_code,2|H|中距離|00,345,345,17.68,63.65,75.02,345,48.12,82.64,90.5,81.25,87.4,keibajo_code,10,"63,54,54,46,45,43,13,12,9,6",7,70.0
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,2|マイル|00|5,321,321,22.43,68.07,72.9,321,56.39,77.98,90.46,83.16,88.05,class_code,8,"121,89,61,35,10,2,2,1",5,62.5
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+umakigo_code+kyori_tekisei,2|0.0|00|5,406,406,22.41,78.03,74.37,406,53.94,84.7,89.72,82.52,87.2,keibajo_code,10,"60,52,52,49,40,39,33,29,28,24",7,70.0
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+pace_yoso+omo_tekisei_code+uma_deokure_ritsu,2|H|2|0.0,294,294,12.59,68.44,95.89,294,34.69,82.69,89.5,86.57,89.06,class_code,17,"66,50,34,32,25,18,17,11,10,8,8,4,3,3,2,2,1",15,88.2
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_kubun+kyori_tekisei+uma_deokure_ritsu,2|マイル|5|0.0,354,354,15.25,63.98,89.67,354,38.14,83.64,89.06,81.92,86.53,class_code,18,"79,55,43,33,23,22,21,16,13,11,10,9,8,5,3,1,1,1",16,88.9
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,2|中距離|00|5,636,636,19.97,68.03,74.42,636,51.1,84.06,88.87,83.16,88.05,keibajo_code,10,"100,84,78,75,68,67,54,40,36,34",3,30.0
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+kyori_tekisei,2|H|中距離|5,334,334,17.37,61.17,72.06,334,47.9,82.31,88.3,81.49,89.35,keibajo_code,10,"64,53,48,45,43,40,13,12,10,6",8,80.0
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,5|短距離|00|1,378,378,23.28,63.54,78.63,378,52.65,83.41,87.54,83.16,88.05,keibajo_code,10,"61,49,48,42,37,34,32,31,27,17",9,90.0
4,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei+joshodo_code,2|中距離|5|3,337,337,16.02,58.75,64.33,337,47.18,84.21,85.1,85.43,88.74,keibajo_code,10,"53,47,37,36,31,30,28,28,27,20",9,90.0
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+umakigo_code+kyori_tekisei,5|0.0|00|1,310,310,21.61,69.13,77.84,310,48.71,83.52,83.76,82.52,87.2,keibajo_code,10,"41,38,35,32,32,31,30,28,22,21",10,100.0
4,COURSE_27_北海道U字_芝,umakigo_code+kyori_tekisei+uma_deokure_ritsu+uma_start_shisu,00|1|0.0|0.0,451,451,11.97,84.68,76.71,451,33.7,87.52,80.49,81.15,87.22,class_code,17,"133,104,77,33,22,18,14,12,11,7,5,4,4,3,2,1,1",14,82.4
4,COURSE_27_北海道U字_芝,umakigo_code+kyori_tekisei+uma_deokure_ritsu+uma_start_shisu,00|0|0.0|0.0,281,281,7.47,80.07,97.13,281,26.33,104.48,79.95,81.15,87.22,class_code,8,"228,39,6,4,1,1,1,1",7,87.5
