segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+joken_class_code+shiba_tekisei_code,uma_deokure_ritsu,joken_class_code,shiba_tekisei_code,24,8254,77.04,8.02,73.83,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+joken_class_code+ichi_shisu_juni,manken_shirushi,joken_class_code,ichi_shisu_juni,8,1471,77.3,5.08,73.78,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+kyuyo_riyu_bunrui_code+shiba_tekisei_code,manken_shirushi,kyuyo_riyu_bunrui_code,shiba_tekisei_code,8,1459,78.22,6.46,73.74,False
COURSE_27_右回り急坂O字_芝,uma_deokure_ritsu+joken_class_code+kyori_tekisei,uma_deokure_ritsu,joken_class_code,kyori_tekisei,22,7597,77.93,10.18,73.68,False
COURSE_27_右回り急坂O字_芝,ten_shisu_juni+kyuyo_riyu_bunrui_code+kyakushitsu,ten_shisu_juni,kyuyo_riyu_bunrui_code,kyakushitsu,13,1570,77.39,6.85,73.67,False
COURSE_27_右回り急坂O字_芝,manken_shisu+kyori_tekisei+kyakushitsu,manken_shisu,kyori_tekisei,kyakushitsu,21,2558,77.73,9.56,73.64,False
COURSE_27_右回り急坂O字_芝,pace_yoso+manken_shirushi+joken_class_code,pace_yoso,manken_shirushi,joken_class_code,52,9845,75.56,7.12,73.62,False
COURSE_27_右回り急坂O字_芝,hizume_code+ten_shisu_juni+shiba_tekisei_code,hizume_code,ten_shisu_juni,shiba_tekisei_code,31,4393,75.75,6.17,73.57,False
COURSE_27_右回り急坂O字_芝,ichi_shisu_juni+kyuyo_riyu_bunrui_code+shiba_tekisei_code,ichi_shisu_juni,kyuyo_riyu_bunrui_code,shiba_tekisei_code,10,1709,77.52,6.45,73.52,False
COURSE_27_右回り急坂O字_芝,manken_shirushi+joshodo_code+ten_shisu_juni,manken_shirushi,joshodo_code,ten_shisu_juni,44,5366,76.73,10.93,73.5,False
COURSE_27_右回り急坂O字_芝,nyukyu_nannichimae+kyori_tekisei+shiba_tekisei_code,nyukyu_nannichimae,kyori_tekisei,shiba_tekisei_code,14,2924,78.25,9.12,73.48,False
COURSE_27_右回り急坂O字_芝,hizume_code+kyori_tekisei+ten_shisu_juni,hizume_code,kyori_tekisei,ten_shisu_juni,32,4884,76.31,8.31,73.43,False
COURSE_27_右回り急坂O字_芝,pace_yoso+manken_shirushi+omo_tekisei_code,pace_yoso,manken_shirushi,omo_tekisei_code,34,8932,76.04,7.89,73.39,False
