factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
ichi_shisu,位置指数,numeric,95,17706,75.51,10.94,73.31,False
pace_yoso,ペース予想,code,3,21639,73.77,0.64,73.04,False
manken_shirushi,万券印,code,8,13712,75.97,4.24,73.04,False
kyori_tekisei_2,距離適性2,code,3,3543,75.41,2.14,72.99,False
keibajo_code,競馬場,code,3,21639,73.55,0.76,72.69,False
joken_class_code,条件クラス,code,5,21639,73.23,0.68,72.63,False
kishu_shisu,騎手指数,numeric,32,21366,75.69,9.74,72.31,False
joho_shisu,情報指数,numeric,44,21109,74.56,8.39,72.08,False
gekiso_shisu,激走指数,numeric,129,16912,73.3,11.91,71.25,False
uma_start_shisu,馬スタート指数,numeric,20,19031,73.21,5.15,70.96,False
ten_shisu_juni,テン指数順位,numeric,16,21514,73.09,4.47,70.91,False
kyakushitsu,脚質,code,5,21638,72.78,2.31,70.76,False
ls_shisu_juni,LS指数順位,numeric,9,21631,74.28,5.43,70.73,False
manken_shisu,万券指数,numeric,50,20257,72.95,8.06,70.72,False
shiba_tekisei_code,芝適性,code,3,19064,74.82,3.93,70.37,False
ichi_shisu_juni,位置指数順位,numeric,16,21537,72.67,4.87,70.28,False
pace_shisu_juni,ペース指数順位,numeric,16,21529,72.36,5.13,69.85,False
uma_deokure_ritsu,馬出遅率,numeric,34,18205,73.77,12.24,69.66,False
omo_tekisei_code,重適性,code,4,19563,73.76,4.66,69.19,False
nyukyu_nannichimae,入厩何日前,numeric,28,10726,71.7,7.8,68.81,False
rotation,ローテーション,numeric,21,18689,71.92,9.17,68.0,False
idm,IDM指数,numeric,50,13398,71.4,13.34,67.7,False
hizume_code,蹄コード,code,14,18985,71.15,6.67,67.66,False
ten_shisu,テン指数,numeric,15,3499,73.36,11.56,67.51,False
gekiso_juni,激走順位,numeric,16,21535,70.37,6.47,67.2,False
sogo_shisu,総合指数,numeric,7,743,75.88,11.75,67.18,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,43,13546,69.95,10.08,66.94,False
agari_shisu_juni,上がり指数順位,numeric,16,21534,69.97,7.6,66.25,False
agari_shisu,上がり指数,numeric,21,3895,71.07,11.88,65.99,False
kyuyo_riyu_bunrui_code,休養理由,code,3,4585,67.65,1.48,65.97,False
kyusha_shisu,厩舎指数,numeric,23,5486,70.55,11.4,65.89,False
kakutoku_shokin_ruikei,獲得賞金累計,numeric,10,5966,71.0,9.23,65.28,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,42,10240,68.69,11.78,65.12,False
class_code,クラスコード,code,14,19161,71.89,13.0,65.08,False
pace_shisu,ペース指数,numeric,9,2792,73.71,13.9,64.63,False
kyori_tekisei,距離適性,code,6,21359,73.17,10.72,64.59,False
tenkai_kigo_code,展開記号,code,5,21639,72.82,9.42,64.56,False
joshodo_code,上昇度,code,3,21385,70.16,4.96,64.55,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,39,11098,67.58,12.07,63.79,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,21595,78.44,37.74,59.95,False
umakigo_code,馬記号,code,3,21628,73.05,12.61,58.78,False
kyusha_hyoka_code,厩舎評価,code,4,21639,72.18,13.85,58.6,False
chokyo_shisu,調教指数,numeric,27,5516,64.17,17.42,57.6,False
kishu_minarai_code,騎手見習,code,5,3210,67.1,14.98,53.97,False
ninki_shisu,人気指数,numeric,42,5603,57.72,17.9,52.31,False
