factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,10869,72.89,0.89,71.89,False
kyori_kubun,距離区分,code,3,10869,72.7,0.8,71.79,False
joken_class_code,条件クラス,code,5,10869,72.37,0.98,71.51,False
omo_tekisei_code,重適性,code,3,10258,73.33,1.67,71.43,False
bataiju_zogen,馬体重増減,numeric,15,9836,74.09,5.43,71.34,False
class_code,クラスコード,code,9,9973,74.45,4.87,71.27,False
bataiju,馬体重,numeric,41,9250,73.81,10.16,70.7,False
manken_shirushi,万券印,code,8,6624,74.7,5.88,70.63,False
rotation_bin,ローテーションビン,code,8,10313,76.57,8.62,70.6,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,10232,74.0,5.54,70.17,False
kyori_tekisei,距離適性,code,4,10564,73.39,3.65,69.81,False
joho_shisu_decile,情報指数10分位,code,6,10869,73.6,4.89,69.69,False
gekiso_juni,激走順位,numeric,16,10869,72.51,6.21,69.47,False
hizume_code,蹄コード,code,12,9832,73.5,7.15,69.45,False
manken_shisu_decile,万券指数10分位,code,10,10703,73.2,6.66,69.07,False
kishu_minarai_code,騎手見習,code,6,10869,74.77,7.43,68.82,False
uma_deokure_bin,馬出遅率ビン,code,5,10304,73.36,5.48,68.55,False
ls_shisu_juni,LS指数順位,numeric,8,10858,72.05,5.18,68.46,False
tenkai_kigo_code,展開記号,code,5,10869,73.17,5.67,68.2,False
ichi_shisu_juni,位置指数順位,numeric,16,10869,71.23,6.88,67.86,False
kyakushitsu,脚質,code,5,10869,71.41,4.2,67.73,False
da_tekisei_code,ダ適性,code,3,9332,72.02,4.12,67.36,False
kyusha_shisu_decile,厩舎指数10分位,code,10,10869,70.64,5.88,67.0,False
agari_shisu_juni,上がり指数順位,numeric,16,10869,71.12,8.73,66.84,False
umakigo_code,馬記号,code,3,10846,74.87,7.21,66.71,False
ten_shisu_juni,テン指数順位,numeric,16,10869,71.04,9.02,66.62,False
kyuyo_riyu_bunrui_code,休養理由,code,3,2816,68.64,2.21,66.14,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,15,10810,72.81,13.36,66.04,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,10,10869,73.88,13.64,65.43,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,24,5273,71.69,15.72,65.4,False
chokyo_shisu_decile,調教指数10分位,code,10,10820,68.91,7.14,64.49,False
pace_shisu_juni,ペース指数順位,numeric,16,10869,69.33,9.89,64.48,False
kishu_shisu_decile,騎手指数10分位,code,10,10869,72.83,14.02,64.14,False
idm_decile,IDM指数10分位,code,10,10869,70.23,9.94,64.07,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,10,10869,73.88,16.16,63.87,False
sogo_shisu_decile,総合指数10分位,code,10,10869,69.6,10.3,63.21,False
ninki_shisu_decile,人気指数10分位,code,10,10869,68.49,12.85,60.53,False
joshodo_code,上昇度,code,3,10797,78.32,16.89,59.21,False
kyusha_hyoka_code,厩舎評価,code,4,10869,69.84,12.13,57.95,False
