segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_03_ダ,kyori_kubun+joken_class_code+omo_tekisei_code+hizume_code,kyori_kubun,joken_class_code,omo_tekisei_code,hizume_code,26,4125,76.33,12.6,71.49,False
KEIBAJO_SURFACE_03_ダ,kyori_kubun+manken_shirushi+kyori_tekisei+kishu_minarai_code,kyori_kubun,manken_shirushi,kyori_tekisei,kishu_minarai_code,19,2703,76.43,11.03,71.47,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+joken_class_code+class_code+kyori_tekisei,pace_yoso,joken_class_code,class_code,kyori_tekisei,23,7769,74.85,8.35,71.44,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+omo_tekisei_code+kyori_tekisei+hizume_code,pace_yoso,omo_tekisei_code,kyori_tekisei,hizume_code,25,3911,76.85,13.8,71.44,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+kyori_kubun+joken_class_code+omo_tekisei_code,pace_yoso,kyori_kubun,joken_class_code,omo_tekisei_code,22,8829,73.47,5.07,71.35,False
KEIBAJO_SURFACE_03_ダ,kyori_kubun+joken_class_code+class_code+kyori_tekisei,kyori_kubun,joken_class_code,class_code,kyori_tekisei,24,7954,75.02,9.25,71.32,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+kyori_tekisei+hizume_code+ls_shisu_juni,pace_yoso,kyori_tekisei,hizume_code,ls_shisu_juni,12,1448,77.84,11.56,71.3,False
KEIBAJO_SURFACE_03_ダ,kyori_kubun+omo_tekisei_code+hizume_code+kishu_minarai_code,kyori_kubun,omo_tekisei_code,hizume_code,kishu_minarai_code,27,5055,75.04,9.96,71.28,False
KEIBAJO_SURFACE_03_ダ,kyori_kubun+uma_start_shisu_decile+tenkai_kigo_code+ichi_shisu_juni,kyori_kubun,uma_start_shisu_decile,tenkai_kigo_code,ichi_shisu_juni,5,556,78.46,8.22,71.25,False
KEIBAJO_SURFACE_03_ダ,kyori_kubun+uma_start_shisu_decile+hizume_code+kishu_minarai_code,kyori_kubun,uma_start_shisu_decile,hizume_code,kishu_minarai_code,12,1849,76.35,9.02,71.25,False
KEIBAJO_SURFACE_03_ダ,joken_class_code+class_code+kyori_tekisei+kishu_minarai_code,joken_class_code,class_code,kyori_tekisei,kishu_minarai_code,24,6838,74.97,9.31,71.24,False
KEIBAJO_SURFACE_03_ダ,kyori_kubun+joken_class_code+gekiso_juni+kishu_minarai_code,kyori_kubun,joken_class_code,gekiso_juni,kishu_minarai_code,22,2969,75.71,10.8,71.2,False
KEIBAJO_SURFACE_03_ダ,kyori_kubun+omo_tekisei_code+kyori_tekisei+hizume_code,kyori_kubun,omo_tekisei_code,kyori_tekisei,hizume_code,26,4020,76.27,13.18,71.2,False
KEIBAJO_SURFACE_03_ダ,kyori_kubun+omo_tekisei_code+uma_deokure_bin+tenkai_kigo_code,kyori_kubun,omo_tekisei_code,uma_deokure_bin,tenkai_kigo_code,28,5829,74.64,9.44,71.15,False
KEIBAJO_SURFACE_03_ダ,uma_start_shisu_decile+kishu_minarai_code+ls_shisu_juni+tenkai_kigo_code,uma_start_shisu_decile,kishu_minarai_code,ls_shisu_juni,tenkai_kigo_code,9,1508,76.06,7.56,71.12,False
KEIBAJO_SURFACE_03_ダ,omo_tekisei_code+kyori_tekisei+ls_shisu_juni+tenkai_kigo_code,omo_tekisei_code,kyori_tekisei,ls_shisu_juni,tenkai_kigo_code,17,2543,78.21,14.96,71.1,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+kyori_kubun+kyori_tekisei+hizume_code,pace_yoso,kyori_kubun,kyori_tekisei,hizume_code,28,5629,74.59,9.52,71.07,False
KEIBAJO_SURFACE_03_ダ,omo_tekisei_code+rotation_bin+uma_start_shisu_decile+tenkai_kigo_code,omo_tekisei_code,rotation_bin,uma_start_shisu_decile,tenkai_kigo_code,6,807,77.87,8.5,71.06,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+kyori_tekisei+hizume_code+uma_deokure_bin,pace_yoso,kyori_tekisei,hizume_code,uma_deokure_bin,18,2521,76.27,11.32,71.04,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+joken_class_code+class_code+gekiso_juni,pace_yoso,joken_class_code,class_code,gekiso_juni,25,4528,73.95,7.53,70.99,False
KEIBAJO_SURFACE_03_ダ,pace_yoso+kyori_kubun+kyori_tekisei+gekiso_juni,pace_yoso,kyori_kubun,kyori_tekisei,gekiso_juni,32,4819,75.01,11.75,70.94,False
