segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_02_芝_新馬,kyori_tekisei+ninki_shisu_decile,kyori_tekisei,ninki_shisu_decile,7,790,77.89,9.84,70.6,False
KEIBAJO_SURFACE_02_芝_新馬,agari_shisu_juni+kishu_minarai_code,agari_shisu_juni,kishu_minarai_code,11,1732,75.88,9.02,70.55,False
KEIBAJO_SURFACE_02_芝_新馬,kyori_tekisei+tenkai_kigo_code,kyori_tekisei,tenkai_kigo_code,6,1501,73.74,4.03,70.51,False
KEIBAJO_SURFACE_02_芝_新馬,ls_shisu_juni+pace_yoso,ls_shisu_juni,pace_yoso,6,1739,72.79,2.97,70.41,False
KEIBAJO_SURFACE_02_芝_新馬,omo_tekisei_code+rotation_bin,omo_tekisei_code,rotation_bin,10,1758,75.47,8.19,70.4,False
KEIBAJO_SURFACE_02_芝_新馬,gekiso_juni+kishu_minarai_code,gekiso_juni,kishu_minarai_code,10,1681,75.2,7.93,70.29,False
KEIBAJO_SURFACE_02_芝_新馬,omo_tekisei_code+joho_shisu_decile,omo_tekisei_code,joho_shisu_decile,12,2056,75.85,10.1,70.14,False
KEIBAJO_SURFACE_02_芝_新馬,omo_tekisei_code+kishu_minarai_code,omo_tekisei_code,kishu_minarai_code,3,1910,74.03,3.46,70.12,False
KEIBAJO_SURFACE_02_芝_新馬,rotation_bin+kishu_minarai_code,rotation_bin,kishu_minarai_code,7,1878,75.51,7.44,70.0,False
KEIBAJO_SURFACE_02_芝_新馬,rotation_bin+class_code,rotation_bin,class_code,6,1617,73.91,4.91,69.98,False
KEIBAJO_SURFACE_02_芝_新馬,uma_deokure_bin+class_code,uma_deokure_bin,class_code,5,1733,74.16,4.81,69.95,False
KEIBAJO_SURFACE_02_芝_新馬,uma_deokure_bin+omo_tekisei_code,uma_deokure_bin,omo_tekisei_code,8,1874,75.55,8.11,69.93,False
KEIBAJO_SURFACE_02_芝_新馬,kyori_tekisei+idm_decile,kyori_tekisei,idm_decile,11,1747,77.22,12.34,69.92,False
KEIBAJO_SURFACE_02_芝_新馬,tenkai_kigo_code+idm_decile,tenkai_kigo_code,idm_decile,7,1459,77.25,9.97,69.87,False
KEIBAJO_SURFACE_02_芝_新馬,tenkai_kigo_code+class_code,tenkai_kigo_code,class_code,4,1662,74.92,5.33,69.7,False
KEIBAJO_SURFACE_02_芝_新馬,pace_yoso+idm_decile,pace_yoso,idm_decile,8,1894,75.49,8.48,69.61,False
KEIBAJO_SURFACE_02_芝_新馬,pace_yoso+pace_shisu_juni,pace_yoso,pace_shisu_juni,8,915,79.47,14.23,69.61,False
KEIBAJO_SURFACE_02_芝_新馬,uma_start_shisu_decile+idm_decile,uma_start_shisu_decile,idm_decile,6,784,79.77,12.79,69.54,False
