factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_shisu_juni,ペース指数順位,numeric,3,319,88.47,8.89,78.42,False
kyori_kubun,距離区分,code,4,1337,72.12,1.89,70.27,False
uma_start_shisu_decile,馬スタート指数10分位,code,7,1300,72.68,5.76,68.41,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,8,1232,71.45,5.01,67.98,False
omo_tekisei_code,重適性,code,3,1336,71.24,3.08,67.75,False
ls_shisu_juni,LS指数順位,numeric,5,1196,72.04,5.7,67.04,False
hizume_code,蹄コード,code,5,1055,73.62,7.65,66.92,False
chokyo_shisu_decile,調教指数10分位,code,8,1181,71.03,7.48,65.85,False
ninki_shisu_decile,人気指数10分位,code,8,1244,72.24,9.63,65.57,False
class_code,クラスコード,code,4,1114,71.98,6.77,65.34,False
manken_shisu_decile,万券指数10分位,code,5,1038,71.45,7.21,65.13,False
kyori_tekisei,距離適性,code,3,1294,72.09,6.42,64.82,False
uma_deokure_bin,馬出遅率ビン,code,5,1337,74.74,12.23,64.02,False
joho_shisu_decile,情報指数10分位,code,6,1337,74.07,12.9,63.74,False
rotation_bin,ローテーションビン,code,5,1254,71.84,10.85,62.33,False
kyusha_shisu_decile,厩舎指数10分位,code,9,1282,71.96,15.62,61.76,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,6,659,74.37,15.91,61.64,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,8,1247,69.31,11.48,61.36,False
kyakushitsu,脚質,code,4,1337,74.31,13.87,60.72,False
bataiju_zogen,馬体重増減,numeric,5,817,70.56,11.26,60.69,False
kishu_shisu_decile,騎手指数10分位,code,9,1296,67.63,13.87,58.57,False
kyori_tekisei_2,距離適性2,code,3,672,66.22,6.89,58.42,False
tenkai_kigo_code,展開記号,code,4,1238,71.97,14.83,57.44,False
agari_shisu_juni,上がり指数順位,numeric,4,419,64.04,9.45,54.78,False
gekiso_juni,激走順位,numeric,4,419,64.63,10.21,54.62,False
