factor,label,bin_label,n,win_roi,place_roi,confidence
pace_shisu,ペース指数,-55.0~-14.6,4864,77.1,73.6,0.961
pace_shisu,ペース指数,-14.6~-11.5,4843,57.0,81.0,0.961
pace_shisu,ペース指数,-11.5~-8.0,4992,82.1,77.4,0.962
pace_shisu,ペース指数,-8.0~-6.0,4867,67.6,71.5,0.961
pace_shisu,ペース指数,-6.0~-3.8,4857,64.0,74.1,0.961
pace_shisu,ペース指数,-3.8~-1.6,4754,78.1,74.0,0.96
pace_shisu,ペース指数,-1.6~0.7,4855,82.6,80.1,0.961
pace_shisu,ペース指数,0.7~3.3,4835,80.8,77.7,0.961
pace_shisu,ペース指数,3.3~7.0,4902,85.0,83.0,0.962
pace_shisu,ペース指数,7.0~39.6,4763,77.8,82.7,0.96
