factor,label,bin_label,n,win_roi,place_roi,confidence
ten_shisu_juni,テン指数順位,1.0~2.0,7429,85.9,82.6,0.974
ten_shisu_juni,テン指数順位,2.0~3.0,3679,79.1,85.0,0.95
ten_shisu_juni,テン指数順位,3.0~4.0,3616,77.2,79.8,0.949
ten_shisu_juni,テン指数順位,4.0~6.0,7324,83.3,76.2,0.974
ten_shisu_juni,テン指数順位,6.0~7.0,3759,66.1,76.4,0.951
ten_shisu_juni,テン指数順位,7.0~8.0,3824,63.4,71.9,0.951
ten_shisu_juni,テン指数順位,8.0~10.0,6727,66.2,70.5,0.972
ten_shisu_juni,テン指数順位,10.0~11.0,2961,91.6,83.3,0.939
ten_shisu_juni,テン指数順位,11.0~13.0,4928,59.5,75.1,0.962
ten_shisu_juni,テン指数順位,13.0~18.0,4285,75.7,77.0,0.956
