factor,label,bin_label,n,win_roi,place_roi,confidence
sogo_shisu,総合指数,4.1~19.2,5011,75.8,64.9,0.962
sogo_shisu,総合指数,19.2~27.3,5044,64.0,75.2,0.963
sogo_shisu,総合指数,27.3~33.3,4949,76.2,75.6,0.962
sogo_shisu,総合指数,33.3~37.8,5029,66.0,75.3,0.962
sogo_shisu,総合指数,37.8~41.5,5026,82.5,81.3,0.962
sogo_shisu,総合指数,41.5~45.2,5130,84.3,78.5,0.963
sogo_shisu,総合指数,45.2~48.7,4913,82.1,81.1,0.962
sogo_shisu,総合指数,48.7~52.7,4952,69.0,81.3,0.962
sogo_shisu,総合指数,52.7~57.6,4956,81.7,81.2,0.962
sogo_shisu,総合指数,57.6~83.5,4990,76.3,78.2,0.962
