factor,label,bin_label,n,win_roi,place_roi,confidence
ichi_shisu,位置指数,-50.0~-12.0,4976,77.2,74.1,0.962
ichi_shisu,位置指数,-12.0~-9.4,4901,52.8,68.0,0.962
ichi_shisu,位置指数,-9.4~-9.0,5517,70.0,73.5,0.966
ichi_shisu,位置指数,-9.0~-7.6,4028,58.4,75.7,0.954
ichi_shisu,位置指数,-7.6~-6.1,5013,73.8,81.6,0.962
ichi_shisu,位置指数,-6.1~-4.8,4958,87.0,81.6,0.962
ichi_shisu,位置指数,-4.8~-3.6,4740,82.4,82.9,0.96
ichi_shisu,位置指数,-3.6~-2.4,4843,80.5,79.1,0.961
ichi_shisu,位置指数,-2.4~-1.1,4885,86.4,78.0,0.961
ichi_shisu,位置指数,-1.1~13.2,4671,80.7,80.0,0.96
