factor,label,bin_label,n,win_roi,place_roi,confidence
gekiso_juni,激走順位,1.0~2.0,7405,73.2,77.0,0.974
gekiso_juni,激走順位,2.0~3.0,3716,86.7,77.3,0.95
gekiso_juni,激走順位,3.0~4.0,3652,77.4,82.3,0.949
gekiso_juni,激走順位,4.0~6.0,7322,70.2,72.5,0.974
gekiso_juni,激走順位,6.0~7.0,3571,65.9,82.4,0.948
gekiso_juni,激走順位,7.0~8.0,3574,71.3,82.1,0.948
gekiso_juni,激走順位,8.0~10.0,6685,76.3,78.7,0.971
gekiso_juni,激走順位,10.0~11.0,3071,83.8,70.6,0.941
gekiso_juni,激走順位,11.0~13.0,5151,86.5,83.3,0.963
gekiso_juni,激走順位,13.0~18.0,4385,63.7,70.1,0.957
