factor,label,bin_label,n,win_roi,place_roi,confidence
idm,IDM指数,4.0~19.0,5042,80.3,68.3,0.963
idm,IDM指数,19.0~26.4,4963,65.5,72.9,0.962
idm,IDM指数,26.4~32.0,5230,72.6,77.7,0.964
idm,IDM指数,32.0~36.0,5156,64.6,71.4,0.963
idm,IDM指数,36.0~40.0,5718,84.4,82.7,0.967
idm,IDM指数,40.0~43.0,4190,84.6,82.8,0.955
idm,IDM指数,43.0~46.5,4721,73.8,77.9,0.96
idm,IDM指数,46.5~50.1,5109,75.1,80.4,0.963
idm,IDM指数,50.1~54.3,4880,75.3,80.3,0.961
idm,IDM指数,54.3~76.8,4991,82.6,78.5,0.962
