factor,label,bin_label,n,win_roi,place_roi,confidence
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,1.6~6.0,5012,56.3,70.4,0.962
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,6.0~7.1,5028,70.7,74.3,0.962
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,7.1~11.5,5543,84.4,79.8,0.966
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,11.5~12.7,4464,84.3,78.9,0.958
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,12.7~17.5,5009,73.2,71.4,0.962
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,17.5~23.8,4972,77.8,77.8,0.962
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,23.8~30.5,4975,74.4,79.0,0.962
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,30.5~39.2,5021,77.7,80.3,0.962
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,39.2~50.0,4989,77.9,78.3,0.962
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,50.0~85.9,4987,79.3,82.5,0.962
