factor,label,bin_label,n,win_roi,place_roi,confidence
agari_shisu,上がり指数,-50.0~-25.5,4857,57.8,67.7,0.961
agari_shisu,上がり指数,-25.5~-19.6,4909,64.9,74.7,0.962
agari_shisu,上がり指数,-19.6~-16.0,4873,89.9,68.8,0.961
agari_shisu,上がり指数,-16.0~-13.0,4954,67.6,74.7,0.962
agari_shisu,上がり指数,-13.0~-10.4,4775,71.1,74.8,0.961
agari_shisu,上がり指数,-10.4~-7.9,4881,88.8,83.9,0.961
agari_shisu,上がり指数,-7.9~-5.4,4856,89.0,89.0,0.961
agari_shisu,上がり指数,-5.4~-2.7,4750,75.1,84.4,0.96
agari_shisu,上がり指数,-2.7~0.9,4877,75.7,79.3,0.961
agari_shisu,上がり指数,0.9~38.8,4800,70.6,76.9,0.961
