factor,label,bin_label,n,win_roi,place_roi,confidence
gekiso_shisu,激走指数,-67.0~75.0,5127,62.4,70.7,0.963
gekiso_shisu,激走指数,75.0~93.0,5058,83.1,81.7,0.963
gekiso_shisu,激走指数,93.0~108.0,4948,77.2,73.4,0.962
gekiso_shisu,激走指数,108.0~121.0,4930,75.7,75.8,0.962
gekiso_shisu,激走指数,121.0~135.0,4989,76.1,79.6,0.962
gekiso_shisu,激走指数,135.0~150.0,5205,60.1,77.0,0.964
gekiso_shisu,激走指数,150.0~165.0,4813,84.6,74.2,0.961
gekiso_shisu,激走指数,165.0~183.0,5118,83.6,83.2,0.963
gekiso_shisu,激走指数,183.0~207.0,4933,74.8,77.2,0.962
gekiso_shisu,激走指数,207.0~350.0,4879,79.0,79.1,0.961
