factor,label,bin_label,n,win_roi,place_roi,confidence
kishu_kitai_tansho_ritsu,騎手期待単勝率,0.0~1.2,5163,59.8,72.7,0.963
kishu_kitai_tansho_ritsu,騎手期待単勝率,1.2~1.4,5752,59.9,71.8,0.967
kishu_kitai_tansho_ritsu,騎手期待単勝率,1.4~2.4,4802,96.2,82.2,0.961
kishu_kitai_tansho_ritsu,騎手期待単勝率,2.4~2.9,4412,82.6,76.8,0.958
kishu_kitai_tansho_ritsu,騎手期待単勝率,2.9~4.2,4949,72.5,72.4,0.962
kishu_kitai_tansho_ritsu,騎手期待単勝率,4.2~6.2,5025,78.9,78.5,0.962
kishu_kitai_tansho_ritsu,騎手期待単勝率,6.2~8.6,4927,74.2,79.7,0.962
kishu_kitai_tansho_ritsu,騎手期待単勝率,8.6~12.4,4985,75.6,77.9,0.962
kishu_kitai_tansho_ritsu,騎手期待単勝率,12.4~18.5,5102,79.2,79.2,0.963
kishu_kitai_tansho_ritsu,騎手期待単勝率,18.5~59.5,4883,79.8,82.4,0.961
