factor,label,bin_label,n,win_roi,place_roi,confidence
manken_shisu,万券指数,0.0~20.0,5409,71.7,68.7,0.965
manken_shisu,万券指数,20.0~25.0,4555,74.0,70.9,0.959
manken_shisu,万券指数,25.0~30.0,6129,86.0,79.3,0.969
manken_shisu,万券指数,30.0~33.0,3987,62.1,77.5,0.953
manken_shisu,万券指数,33.0~37.0,5803,77.0,78.6,0.967
manken_shisu,万券指数,37.0~40.0,4316,79.5,78.7,0.957
manken_shisu,万券指数,40.0~44.0,5218,62.9,77.5,0.964
manken_shisu,万券指数,44.0~48.0,4433,82.7,82.9,0.958
manken_shisu,万券指数,48.0~55.0,5437,72.3,76.9,0.965
manken_shisu,万券指数,55.0~95.0,4454,86.2,81.6,0.958
