factor,label,bin_label,n,win_roi,place_roi,confidence
agari_shisu_juni,上がり指数順位,1.0~2.0,7344,76.8,84.3,0.974
agari_shisu_juni,上がり指数順位,2.0~3.0,3672,77.6,87.1,0.95
agari_shisu_juni,上がり指数順位,3.0~4.0,3647,89.3,82.8,0.949
agari_shisu_juni,上がり指数順位,4.0~6.0,7258,81.3,78.7,0.974
agari_shisu_juni,上がり指数順位,6.0~7.0,3647,79.5,76.8,0.949
agari_shisu_juni,上がり指数順位,7.0~8.0,3594,70.3,77.1,0.949
agari_shisu_juni,上がり指数順位,8.0~10.0,6734,71.6,71.9,0.972
agari_shisu_juni,上がり指数順位,10.0~11.0,3047,81.1,69.0,0.94
agari_shisu_juni,上がり指数順位,11.0~13.0,5162,61.6,72.6,0.963
agari_shisu_juni,上がり指数順位,13.0~18.0,4427,65.2,71.6,0.958
