factor,label,bin_label,n,win_roi,place_roi,confidence
pace_shisu_juni,ペース指数順位,1.0~2.0,7579,82.1,82.6,0.975
pace_shisu_juni,ペース指数順位,2.0~3.0,3637,91.3,80.5,0.949
pace_shisu_juni,ペース指数順位,3.0~4.0,3643,68.4,82.6,0.949
pace_shisu_juni,ペース指数順位,4.0~6.0,7264,78.6,73.8,0.974
pace_shisu_juni,ペース指数順位,6.0~7.0,3736,74.6,76.7,0.95
pace_shisu_juni,ペース指数順位,7.0~8.0,3798,53.0,74.7,0.951
pace_shisu_juni,ペース指数順位,8.0~10.0,6693,77.1,76.9,0.971
pace_shisu_juni,ペース指数順位,10.0~11.0,2939,59.6,75.1,0.938
pace_shisu_juni,ペース指数順位,11.0~13.0,4951,67.1,75.0,0.962
pace_shisu_juni,ペース指数順位,13.0~18.0,4292,85.6,75.4,0.956
