factor,label,bin_label,n,win_roi,place_roi,confidence
chokyo_shisu,調教指数,-18.3~-11.8,4990,53.9,70.7,0.962
chokyo_shisu,調教指数,-11.8~-10.4,5184,68.2,76.7,0.964
chokyo_shisu,調教指数,-10.4~-10.0,5313,72.8,74.0,0.964
chokyo_shisu,調教指数,-10.0~-5.3,4558,72.4,72.6,0.959
chokyo_shisu,調教指数,-5.3~-0.7,4906,92.8,78.9,0.962
chokyo_shisu,調教指数,-0.7~4.6,5047,88.4,83.2,0.963
chokyo_shisu,調教指数,4.6~8.6,4950,73.8,77.4,0.962
chokyo_shisu,調教指数,8.6~12.2,4971,75.9,75.8,0.962
chokyo_shisu,調教指数,12.2~16.3,5011,80.3,81.5,0.962
chokyo_shisu,調教指数,16.3~31.3,4958,81.3,83.4,0.962
