factor,label,bin_label,n,win_roi,place_roi,confidence
class_code,クラスコード,01,32,75.1,97.8,0.272
class_code,クラスコード,02,89,70.2,78.6,0.427
class_code,クラスコード,03,203,32.8,64.0,0.58
class_code,クラスコード,04,804,82.9,83.4,0.817
class_code,クラスコード,05,73,90.0,62.6,0.393
class_code,クラスコード,06,798,64.6,72.6,0.816
class_code,クラスコード,08,59,90.9,60.7,0.359
class_code,クラスコード,09,972,102.0,84.7,0.842
class_code,クラスコード,11,220,70.6,73.9,0.596
class_code,クラスコード,12,2919,74.8,86.2,0.938
class_code,クラスコード,14,640,77.4,77.7,0.784
class_code,クラスコード,15,7618,77.2,77.6,0.975
class_code,クラスコード,17,844,79.9,78.8,0.824
class_code,クラスコード,18,9291,73.9,77.0,0.979
class_code,クラスコード,24,101,68.1,91.2,0.449
class_code,クラスコード,25,31,103.2,67.6,0.268
class_code,クラスコード,26,406,64.9,72.8,0.71
class_code,クラスコード,29,440,103.3,94.5,0.724
class_code,クラスコード,31,117,51.1,56.0,0.476
class_code,クラスコード,32,2137,75.6,71.5,0.918
class_code,クラスコード,34,532,62.5,81.4,0.756
class_code,クラスコード,35,7042,74.4,76.7,0.973
class_code,クラスコード,37,815,74.0,78.5,0.819
class_code,クラスコード,38,8360,73.1,75.7,0.977
class_code,クラスコード,56,379,54.1,62.4,0.698
class_code,クラスコード,61,80,64.4,73.2,0.408
class_code,クラスコード,62,788,143.9,81.7,0.814
