factor,label,bin_label,n,win_roi,place_roi,confidence
ichi_shisu_juni,位置指数順位,1.0~2.0,10212,77.5,77.4,0.981
ichi_shisu_juni,位置指数順位,2.0~4.0,6684,88.6,80.6,0.971
ichi_shisu_juni,位置指数順位,4.0~5.0,3326,82.3,82.2,0.945
ichi_shisu_juni,位置指数順位,5.0~7.0,6684,73.2,76.1,0.971
ichi_shisu_juni,位置指数順位,7.0~8.0,3303,70.7,77.9,0.944
ichi_shisu_juni,位置指数順位,8.0~10.0,6290,63.7,71.4,0.97
ichi_shisu_juni,位置指数順位,10.0~11.0,2874,77.7,77.1,0.937
ichi_shisu_juni,位置指数順位,11.0~13.0,4899,65.5,83.7,0.962
ichi_shisu_juni,位置指数順位,13.0~18.0,4260,74.9,72.1,0.956
