factor,label,bin_label,n,win_roi,place_roi,confidence
nyukyu_nannichimae,入厩何日前,9.0~12.0,2752,78.5,74.4,0.934
nyukyu_nannichimae,入厩何日前,12.0~16.0,3832,69.8,85.1,0.952
nyukyu_nannichimae,入厩何日前,16.0~17.0,1836,80.4,87.3,0.906
nyukyu_nannichimae,入厩何日前,17.0~20.0,1896,96.2,76.8,0.909
nyukyu_nannichimae,入厩何日前,20.0~23.0,3879,76.3,71.9,0.952
nyukyu_nannichimae,入厩何日前,23.0~24.0,1618,121.6,95.6,0.895
nyukyu_nannichimae,入厩何日前,24.0~29.0,2890,101.6,75.5,0.937
nyukyu_nannichimae,入厩何日前,29.0~31.0,1768,68.0,75.4,0.903
nyukyu_nannichimae,入厩何日前,31.0~39.0,2566,76.5,74.8,0.93
nyukyu_nannichimae,入厩何日前,39.0~189.0,2499,58.9,74.4,0.928
