factor,label,bin_label,n,win_roi,place_roi,confidence
kyusha_shisu,厩舎指数,-20.0~-12.4,5010,64.6,71.1,0.962
kyusha_shisu,厩舎指数,-12.4~-10.4,5108,64.8,73.6,0.963
kyusha_shisu,厩舎指数,-10.4~-8.7,4914,76.7,71.3,0.962
kyusha_shisu,厩舎指数,-8.7~-4.2,5008,71.2,76.3,0.962
kyusha_shisu,厩舎指数,-4.2~0.7,5026,78.6,80.8,0.962
kyusha_shisu,厩舎指数,0.7~5.7,5029,88.0,78.1,0.962
kyusha_shisu,厩舎指数,5.7~8.9,5000,69.1,79.1,0.962
kyusha_shisu,厩舎指数,8.9~12.4,4988,79.1,79.0,0.962
kyusha_shisu,厩舎指数,12.4~17.8,4968,83.5,80.9,0.962
kyusha_shisu,厩舎指数,17.8~40.0,4949,80.4,83.5,0.962
