factor,label,bin_label,n,win_roi,place_roi,confidence
ten_shisu,テン指数,-50.0~-24.2,4909,79.8,74.8,0.962
ten_shisu,テン指数,-24.2~-20.0,5864,66.0,69.5,0.968
ten_shisu,テン指数,-20.0~-17.5,3944,55.0,77.3,0.953
ten_shisu,テン指数,-17.5~-15.2,4704,81.4,74.4,0.96
ten_shisu,テン指数,-15.2~-13.0,4974,82.6,75.2,0.962
ten_shisu,テン指数,-13.0~-10.8,4747,68.2,80.7,0.96
ten_shisu,テン指数,-10.8~-8.4,4882,64.7,85.3,0.961
ten_shisu,テン指数,-8.4~-5.8,4830,83.1,78.9,0.961
ten_shisu,テン指数,-5.8~-2.5,4865,81.4,73.8,0.961
ten_shisu,テン指数,-2.5~16.3,4813,86.5,85.3,0.961
