factor,label,bin_label,n,win_roi,place_roi,confidence
kijun_ninkijun_tansho,基準人気順単勝,1.0~2.0,7527,79.4,81.5,0.974
kijun_ninkijun_tansho,基準人気順単勝,2.0~3.0,3771,83.3,79.9,0.951
kijun_ninkijun_tansho,基準人気順単勝,3.0~4.0,3771,72.3,75.9,0.951
kijun_ninkijun_tansho,基準人気順単勝,4.0~6.0,7514,71.4,78.2,0.974
kijun_ninkijun_tansho,基準人気順単勝,6.0~7.0,3722,82.4,76.7,0.95
kijun_ninkijun_tansho,基準人気順単勝,7.0~9.0,7229,74.0,71.9,0.973
kijun_ninkijun_tansho,基準人気順単勝,9.0~10.0,3392,92.7,80.6,0.946
kijun_ninkijun_tansho,基準人気順単勝,10.0~11.0,3176,93.1,76.0,0.942
kijun_ninkijun_tansho,基準人気順単勝,11.0~13.0,5372,74.1,78.8,0.965
kijun_ninkijun_tansho,基準人気順単勝,13.0~18.0,4526,46.9,73.8,0.959
