factor,label,bin_label,n,win_roi,place_roi,confidence
ninki_shisu,人気指数,0.0~3.0,5646,47.8,59.5,0.966
ninki_shisu,人気指数,3.0~11.0,4418,72.3,79.3,0.958
ninki_shisu,人気指数,11.0~26.0,4980,80.6,80.9,0.962
ninki_shisu,人気指数,26.0~48.0,5162,85.7,80.2,0.963
ninki_shisu,人気指数,48.0~78.0,4910,80.8,79.7,0.962
ninki_shisu,人気指数,78.0~119.0,4965,77.0,77.8,0.962
ninki_shisu,人気指数,119.0~178.0,4964,80.2,79.2,0.962
ninki_shisu,人気指数,178.0~267.0,4985,74.8,75.1,0.962
ninki_shisu,人気指数,267.0~404.0,4977,79.9,80.6,0.962
ninki_shisu,人気指数,404.0~1047.0,4993,81.7,84.1,0.962
