factor,label,bin_label,n,win_roi,place_roi,confidence
hizume_code,蹄コード,01,199,99.9,60.0,0.576
hizume_code,蹄コード,02,2835,74.2,72.9,0.936
hizume_code,蹄コード,03,3736,73.7,70.1,0.95
hizume_code,蹄コード,04,553,120.3,87.7,0.762
hizume_code,蹄コード,06,330,60.7,89.4,0.672
hizume_code,蹄コード,07,348,58.5,68.0,0.682
hizume_code,蹄コード,08,55,24.2,53.3,0.348
hizume_code,蹄コード,09,292,49.9,81.7,0.65
hizume_code,蹄コード,10,7439,76.7,75.4,0.974
hizume_code,蹄コード,11,3899,67.2,75.7,0.952
hizume_code,蹄コード,12,398,65.2,92.2,0.706
hizume_code,蹄コード,17,204,44.2,94.0,0.581
hizume_code,蹄コード,18,2891,92.7,86.1,0.937
hizume_code,蹄コード,19,2373,52.7,73.4,0.925
hizume_code,蹄コード,20,241,58.6,81.6,0.613
hizume_code,蹄コード,21,473,159.7,80.6,0.736
hizume_code,蹄コード,22,8761,76.5,78.5,0.978
hizume_code,蹄コード,23,9145,78.5,81.0,0.979
hizume_code,蹄コード,24,1240,61.1,72.9,0.87
