segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,chokyo_shisu,-0.1,59,71.4,67.8,0.359
SURFACE_2_ダ,chokyo_shisu,-0.2,77,106.6,99.3,0.402
SURFACE_2_ダ,chokyo_shisu,-0.3,105,162.8,91.2,0.456
SURFACE_2_ダ,chokyo_shisu,-0.4,76,66.2,61.5,0.4
SURFACE_2_ダ,chokyo_shisu,-0.5,84,94.1,89.7,0.417
SURFACE_2_ダ,chokyo_shisu,-0.6,61,69.8,103.2,0.364
SURFACE_2_ダ,chokyo_shisu,-0.7,75,107.5,109.3,0.397
SURFACE_2_ダ,chokyo_shisu,-0.8,65,31.4,46.4,0.374
SURFACE_2_ダ,chokyo_shisu,-0.9,57,48.2,95.3,0.353
SURFACE_2_ダ,chokyo_shisu,-1.0,58,112.5,60.0,0.356
SURFACE_2_ダ,chokyo_shisu,-1.1,58,29.5,78.3,0.356
SURFACE_2_ダ,chokyo_shisu,-1.2,60,0.0,90.9,0.361
SURFACE_2_ダ,chokyo_shisu,-1.3,153,22.5,86.3,0.526
SURFACE_2_ダ,chokyo_shisu,-1.4,67,69.3,85.2,0.379
SURFACE_2_ダ,chokyo_shisu,-1.5,52,92.0,77.9,0.339
SURFACE_2_ダ,chokyo_shisu,-1.6,53,58.8,108.2,0.342
SURFACE_2_ダ,chokyo_shisu,-1.7,155,103.6,88.2,0.528
SURFACE_2_ダ,chokyo_shisu,-1.8,63,75.7,25.1,0.369
SURFACE_2_ダ,chokyo_shisu,-1.9,93,209.6,80.9,0.434
SURFACE_2_ダ,chokyo_shisu,-10.0,2164,79.0,67.7,0.919
SURFACE_2_ダ,chokyo_shisu,-10.1,77,0.0,56.4,0.402
SURFACE_2_ダ,chokyo_shisu,-10.2,277,24.9,87.3,0.64
SURFACE_2_ダ,chokyo_shisu,-10.3,175,76.8,118.3,0.552
SURFACE_2_ダ,chokyo_shisu,-10.4,218,11.6,72.0,0.594
SURFACE_2_ダ,chokyo_shisu,-10.5,68,95.5,141.1,0.381
SURFACE_2_ダ,chokyo_shisu,-10.6,58,0.0,65.6,0.356
SURFACE_2_ダ,chokyo_shisu,-10.7,64,62.5,90.2,0.371
SURFACE_2_ダ,chokyo_shisu,-10.8,719,46.3,100.9,0.802
SURFACE_2_ダ,chokyo_shisu,-10.9,59,25.6,34.9,0.359
SURFACE_2_ダ,chokyo_shisu,-11.0,38,133.6,101.4,0.295
SURFACE_2_ダ,chokyo_shisu,-11.3,490,70.1,75.6,0.742
SURFACE_2_ダ,chokyo_shisu,-11.4,247,74.5,96.4,0.618
SURFACE_2_ダ,chokyo_shisu,-11.5,264,178.8,110.5,0.631
SURFACE_2_ダ,chokyo_shisu,-11.7,79,0.0,26.4,0.406
SURFACE_2_ダ,chokyo_shisu,-11.8,121,172.7,58.9,0.482
SURFACE_2_ダ,chokyo_shisu,-11.9,163,78.3,74.0,0.538
SURFACE_2_ダ,chokyo_shisu,-12.0,35,242.3,142.8,0.284
SURFACE_2_ダ,chokyo_shisu,-12.1,216,118.3,77.0,0.592
SURFACE_2_ダ,chokyo_shisu,-12.3,176,135.9,87.1,0.553
SURFACE_2_ダ,chokyo_shisu,-12.4,98,78.0,69.1,0.444
SURFACE_2_ダ,chokyo_shisu,-12.5,506,56.4,75.3,0.747
SURFACE_2_ダ,chokyo_shisu,-12.6,61,247.6,85.3,0.364
SURFACE_2_ダ,chokyo_shisu,-12.7,47,191.2,123.5,0.324
SURFACE_2_ダ,chokyo_shisu,-12.9,66,2.7,34.4,0.376
SURFACE_2_ダ,chokyo_shisu,-13.4,60,0.0,63.4,0.361
SURFACE_2_ダ,chokyo_shisu,-2.0,139,21.4,72.5,0.508
SURFACE_2_ダ,chokyo_shisu,-2.1,89,202.2,108.5,0.427
SURFACE_2_ダ,chokyo_shisu,-2.2,72,21.5,71.6,0.391
SURFACE_2_ダ,chokyo_shisu,-2.3,79,26.3,88.7,0.406
SURFACE_2_ダ,chokyo_shisu,-2.4,101,55.1,53.6,0.449
SURFACE_2_ダ,chokyo_shisu,-2.5,72,156.7,85.1,0.391
SURFACE_2_ダ,chokyo_shisu,-2.6,66,43.5,114.8,0.376
SURFACE_2_ダ,chokyo_shisu,-2.7,127,233.1,83.6,0.491
SURFACE_2_ダ,chokyo_shisu,-2.8,78,198.4,94.8,0.404
SURFACE_2_ダ,chokyo_shisu,-2.9,153,99.3,76.7,0.526
SURFACE_2_ダ,chokyo_shisu,-3.0,44,214.5,130.6,0.315
