segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,02_芝_長距離,umaban,01,38,8.8,59.1,0.295
COURSE_27,02_芝_長距離,umaban,02,39,132.4,93.4,0.298
COURSE_27,02_芝_長距離,umaban,03,38,11.7,76.2,0.295
COURSE_27,02_芝_長距離,umaban,04,39,31.9,53.3,0.298
COURSE_27,02_芝_長距離,umaban,05,39,96.1,158.7,0.298
COURSE_27,02_芝_長距離,umaban,06,39,234.4,139.5,0.298
COURSE_27,02_芝_長距離,umaban,07,39,276.8,102.9,0.298
COURSE_27,02_芝_長距離,umaban,08,38,1.3,120.3,0.295
COURSE_27,02_芝_長距離,umaban,09,37,68.9,46.3,0.291
COURSE_27,02_芝_長距離,umaban,10,33,33.3,48.8,0.276
