segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|1-3|2,293,52.2,82.2,0.65
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|1-3|3,4522,79.6,77.8,0.959
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|1-3|4,2267,70.7,73.0,0.922
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|1-3|5,1024,123.8,89.6,0.848
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|1-3|6,374,103.4,79.9,0.695
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|1-3|7,96,54.4,99.3,0.44
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|10+|2,120,68.8,76.1,0.48
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|10+|3,2116,78.6,79.5,0.917
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|10+|4,1373,93.2,79.8,0.88
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|10+|5,912,57.0,66.6,0.834
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|10+|6,419,62.1,62.0,0.715
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|10+|7,142,8.8,69.8,0.512
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|10+|8,45,59.5,127.4,0.318
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|4-6|2,205,69.0,90.6,0.582
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|4-6|3,2983,75.4,83.3,0.939
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|4-6|4,1566,108.4,93.7,0.892
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|4-6|5,931,62.3,73.0,0.836
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|4-6|6,314,54.3,96.6,0.663
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|4-6|7,102,44.6,66.1,0.451
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|7-9|2,129,91.8,50.9,0.494
