segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,05_芝_マイル,bamei_hahachichi,アグネスタキオン,63,41.8,37.2,0.369
COURSE_27,05_芝_マイル,bamei_hahachichi,キングカメハメハ,49,20.9,32.9,0.33
COURSE_27,05_芝_マイル,bamei_hahachichi,クロフネ,63,28.4,46.1,0.369
COURSE_27,05_芝_マイル,bamei_hahachichi,サクラバクシンオー,50,131.5,83.6,0.333
COURSE_27,05_芝_マイル,bamei_hahachichi,サンデーサイレンス,142,125.8,68.8,0.512
COURSE_27,05_芝_マイル,bamei_hahachichi,シンボリクリスエス,40,53.6,40.2,0.302
COURSE_27,05_芝_マイル,bamei_hahachichi,スペシャルウィーク,41,27.0,27.0,0.305
COURSE_27,05_芝_マイル,bamei_hahachichi,タイキシャトル,46,37.3,67.3,0.321
COURSE_27,05_芝_マイル,bamei_hahachichi,ダンスインザダーク,53,41.9,69.1,0.342
COURSE_27,05_芝_マイル,bamei_hahachichi,トニービン,44,118.3,99.2,0.315
COURSE_27,05_芝_マイル,bamei_hahachichi,フジキセキ,73,52.3,43.8,0.393
COURSE_27,05_芝_マイル,bamei_hahachichi,フレンチデピュティ,80,410.7,105.1,0.408
COURSE_27,05_芝_マイル,bamei_hahachichi,ブライアンズタイム,62,48.3,49.3,0.366
COURSE_27,05_芝_マイル,bamei_hahachichi,マンハッタンカフェ,34,9.1,23.2,0.28
