segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_芝,chokyo_shisu,-0.1,63,85.2,110.3,0.369
SURFACE_2_芝,chokyo_shisu,-0.2,89,49.6,86.9,0.427
SURFACE_2_芝,chokyo_shisu,-0.3,144,100.6,90.7,0.514
SURFACE_2_芝,chokyo_shisu,-0.4,70,0.0,55.1,0.386
SURFACE_2_芝,chokyo_shisu,-0.5,107,157.4,131.4,0.459
SURFACE_2_芝,chokyo_shisu,-0.6,93,16.7,71.3,0.434
SURFACE_2_芝,chokyo_shisu,-0.7,87,132.7,78.1,0.423
SURFACE_2_芝,chokyo_shisu,-0.8,78,73.7,91.5,0.404
SURFACE_2_芝,chokyo_shisu,-0.9,66,81.4,85.7,0.376
SURFACE_2_芝,chokyo_shisu,-1.0,84,100.1,109.3,0.417
SURFACE_2_芝,chokyo_shisu,-1.1,83,44.4,63.4,0.415
SURFACE_2_芝,chokyo_shisu,-1.2,84,51.9,67.8,0.417
SURFACE_2_芝,chokyo_shisu,-1.3,212,81.6,65.5,0.589
SURFACE_2_芝,chokyo_shisu,-1.4,77,23.9,43.0,0.402
SURFACE_2_芝,chokyo_shisu,-1.5,75,125.6,52.8,0.397
SURFACE_2_芝,chokyo_shisu,-1.6,57,173.4,104.6,0.353
SURFACE_2_芝,chokyo_shisu,-1.7,154,126.5,76.1,0.527
SURFACE_2_芝,chokyo_shisu,-1.8,109,70.8,84.6,0.463
SURFACE_2_芝,chokyo_shisu,-1.9,123,100.6,122.5,0.485
SURFACE_2_芝,chokyo_shisu,-10.0,2443,81.5,81.0,0.927
SURFACE_2_芝,chokyo_shisu,-10.1,96,43.8,91.2,0.44
SURFACE_2_芝,chokyo_shisu,-10.2,359,54.6,89.7,0.688
SURFACE_2_芝,chokyo_shisu,-10.3,191,15.3,46.6,0.568
SURFACE_2_芝,chokyo_shisu,-10.4,206,87.5,85.7,0.583
SURFACE_2_芝,chokyo_shisu,-10.5,97,111.6,86.2,0.442
SURFACE_2_芝,chokyo_shisu,-10.6,70,0.0,10.1,0.386
SURFACE_2_芝,chokyo_shisu,-10.7,97,11.3,33.5,0.442
SURFACE_2_芝,chokyo_shisu,-10.8,744,129.5,95.1,0.806
SURFACE_2_芝,chokyo_shisu,-10.9,105,72.6,64.8,0.456
SURFACE_2_芝,chokyo_shisu,-11.0,55,126.8,121.7,0.348
SURFACE_2_芝,chokyo_shisu,-11.2,53,9.0,36.2,0.342
SURFACE_2_芝,chokyo_shisu,-11.3,624,24.5,78.3,0.781
SURFACE_2_芝,chokyo_shisu,-11.4,337,37.7,72.8,0.676
