segment,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,umaban,01,5956,77.4,73.6,0.968
COURSE_27,umaban,02,5958,84.9,82.8,0.968
COURSE_27,umaban,03,5890,90.7,77.8,0.968
COURSE_27,umaban,04,5927,75.5,75.1,0.968
COURSE_27,umaban,05,5929,78.1,80.2,0.968
COURSE_27,umaban,06,5888,90.3,80.1,0.968
COURSE_27,umaban,07,5912,78.3,76.6,0.968
COURSE_27,umaban,08,5834,84.4,79.7,0.967
COURSE_27,umaban,09,5614,68.3,75.2,0.966
COURSE_27,umaban,10,5478,88.4,84.3,0.965
COURSE_27,umaban,11,5114,71.6,76.0,0.963
COURSE_27,umaban,12,4724,73.5,81.1,0.96
COURSE_27,umaban,13,4177,84.3,79.7,0.955
COURSE_27,umaban,14,3671,85.8,84.9,0.95
COURSE_27,umaban,15,2889,91.1,80.1,0.937
COURSE_27,umaban,16,1777,72.0,77.0,0.903
COURSE_27,umaban,17,388,86.0,97.0,0.702
COURSE_27,umaban,18,332,93.2,101.0,0.673
