segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_芝,sanchimei,えりも,40,11.1,54.7,0.302
SURFACE_2_芝,sanchimei,むかわ,366,91.1,87.7,0.691
SURFACE_2_芝,sanchimei,仏,50,48.1,51.9,0.333
SURFACE_2_芝,sanchimei,千歳,3954,81.6,81.9,0.953
SURFACE_2_芝,sanchimei,安平,7263,75.7,76.3,0.974
SURFACE_2_芝,sanchimei,平取,726,85.0,61.8,0.803
SURFACE_2_芝,sanchimei,愛,292,85.0,86.9,0.65
SURFACE_2_芝,sanchimei,新ひだか,8325,83.1,79.0,0.977
SURFACE_2_芝,sanchimei,新冠,6527,95.1,84.2,0.971
SURFACE_2_芝,sanchimei,日高,5837,76.7,74.0,0.967
SURFACE_2_芝,sanchimei,栃木,73,54.9,77.1,0.393
SURFACE_2_芝,sanchimei,様似,258,95.8,88.3,0.626
SURFACE_2_芝,sanchimei,洞爺湖,367,78.8,73.4,0.692
SURFACE_2_芝,sanchimei,浦河,6507,78.1,78.8,0.971
SURFACE_2_芝,sanchimei,登別,98,30.7,81.0,0.444
SURFACE_2_芝,sanchimei,白老,1406,68.8,80.2,0.882
SURFACE_2_芝,sanchimei,米,572,79.8,67.3,0.767
SURFACE_2_芝,sanchimei,英,226,88.6,73.0,0.601
SURFACE_2_芝,sanchimei,豪,74,47.8,65.7,0.395
SURFACE_2_芝,sanchimei,青森,162,32.9,111.6,0.537
