segment,factors,bin_label,n,win_roi,place_roi,confidence
GLOBAL,yuso_kubun+chokyoshimei,1|加藤征弘,84,71.2,76.6,0.417
GLOBAL,yuso_kubun+chokyoshimei,1|北出成人,62,35.4,77.1,0.366
GLOBAL,yuso_kubun+chokyoshimei,1|千田輝彦,64,67.7,81.3,0.371
GLOBAL,yuso_kubun+chokyoshimei,1|南井克巳,104,106.5,101.4,0.454
GLOBAL,yuso_kubun+chokyoshimei,1|南田美知雄,32,83.6,166.5,0.272
GLOBAL,yuso_kubun+chokyoshimei,1|友道康夫,68,150.2,105.3,0.381
GLOBAL,yuso_kubun+chokyoshimei,1|古賀史生,42,41.9,58.3,0.308
GLOBAL,yuso_kubun+chokyoshimei,1|古賀慎明,52,12.1,34.1,0.339
GLOBAL,yuso_kubun+chokyoshimei,1|吉岡辰弥,57,63.9,88.6,0.353
GLOBAL,yuso_kubun+chokyoshimei,1|吉村圭司,104,46.0,94.8,0.454
GLOBAL,yuso_kubun+chokyoshimei,1|吉田直弘,87,107.8,63.5,0.423
GLOBAL,yuso_kubun+chokyoshimei,1|和田勇介,71,126.0,86.1,0.388
GLOBAL,yuso_kubun+chokyoshimei,1|和田正一郎,83,114.3,75.1,0.415
GLOBAL,yuso_kubun+chokyoshimei,1|和田雄二,62,32.9,53.7,0.366
GLOBAL,yuso_kubun+chokyoshimei,1|四位洋文,40,88.6,80.1,0.302
GLOBAL,yuso_kubun+chokyoshimei,1|国枝栄,147,71.9,77.0,0.518
GLOBAL,yuso_kubun+chokyoshimei,1|土田稔,93,23.4,37.9,0.434
GLOBAL,yuso_kubun+chokyoshimei,1|坂口智康,53,73.4,64.0,0.342
GLOBAL,yuso_kubun+chokyoshimei,1|堀井雅広,45,24.5,82.3,0.318
GLOBAL,yuso_kubun+chokyoshimei,1|堀宣行,104,181.3,84.8,0.454
GLOBAL,yuso_kubun+chokyoshimei,1|大久保龍志,83,177.2,89.4,0.415
GLOBAL,yuso_kubun+chokyoshimei,1|大和田成,66,20.2,60.7,0.376
GLOBAL,yuso_kubun+chokyoshimei,1|大根田裕之,57,84.7,78.2,0.353
GLOBAL,yuso_kubun+chokyoshimei,1|大橋勇樹,78,101.7,84.1,0.404
GLOBAL,yuso_kubun+chokyoshimei,1|大江原哲,68,205.6,150.1,0.381
GLOBAL,yuso_kubun+chokyoshimei,1|大竹正博,80,113.7,68.9,0.408
GLOBAL,yuso_kubun+chokyoshimei,1|天間昭一,55,139.3,85.0,0.348
GLOBAL,yuso_kubun+chokyoshimei,1|奥平雅士,76,130.4,95.7,0.4
GLOBAL,yuso_kubun+chokyoshimei,1|奥村武,91,167.3,108.2,0.431
GLOBAL,yuso_kubun+chokyoshimei,1|奥村豊,79,40.7,73.0,0.406
GLOBAL,yuso_kubun+chokyoshimei,1|安田翔伍,73,83.6,72.7,0.393
GLOBAL,yuso_kubun+chokyoshimei,1|安田隆行,136,79.1,97.3,0.504
GLOBAL,yuso_kubun+chokyoshimei,1|安達昭夫,62,77.2,135.2,0.366
GLOBAL,yuso_kubun+chokyoshimei,1|宗像義忠,78,38.3,64.2,0.404
GLOBAL,yuso_kubun+chokyoshimei,1|宮徹,102,68.8,108.5,0.451
GLOBAL,yuso_kubun+chokyoshimei,1|宮本博,78,33.1,60.4,0.404
GLOBAL,yuso_kubun+chokyoshimei,1|宮田敬介,30,205.2,64.9,0.264
GLOBAL,yuso_kubun+chokyoshimei,1|寺島良,86,25.7,57.0,0.421
GLOBAL,yuso_kubun+chokyoshimei,1|小島茂之,99,116.0,118.4,0.445
GLOBAL,yuso_kubun+chokyoshimei,1|小崎憲,59,224.8,108.0,0.359
GLOBAL,yuso_kubun+chokyoshimei,1|小手川準,36,207.6,74.7,0.287
GLOBAL,yuso_kubun+chokyoshimei,1|小栗実,33,176.9,116.4,0.276
GLOBAL,yuso_kubun+chokyoshimei,1|小桧山悟,56,85.8,51.3,0.35
GLOBAL,yuso_kubun+chokyoshimei,1|小笠倫弘,78,214.6,95.3,0.404
GLOBAL,yuso_kubun+chokyoshimei,1|小西一男,65,14.2,58.5,0.374
GLOBAL,yuso_kubun+chokyoshimei,1|小野次郎,89,100.3,60.0,0.427
GLOBAL,yuso_kubun+chokyoshimei,1|尾形和幸,71,272.9,113.5,0.388
GLOBAL,yuso_kubun+chokyoshimei,1|尾関知人,81,37.3,78.6,0.41
GLOBAL,yuso_kubun+chokyoshimei,1|山内研二,34,25.1,37.9,0.28
GLOBAL,yuso_kubun+chokyoshimei,1|岡田稲男,136,104.6,82.7,0.504
GLOBAL,yuso_kubun+chokyoshimei,1|岩戸孝樹,95,14.3,52.2,0.438
GLOBAL,yuso_kubun+chokyoshimei,1|平田修,95,109.8,100.6,0.438
GLOBAL,yuso_kubun+chokyoshimei,1|庄野靖志,63,152.9,88.4,0.369
GLOBAL,yuso_kubun+chokyoshimei,1|戸田博文,66,4.9,51.2,0.376
GLOBAL,yuso_kubun+chokyoshimei,1|手塚貴久,105,164.9,134.6,0.456
GLOBAL,yuso_kubun+chokyoshimei,1|斉藤崇史,31,56.4,43.6,0.268
GLOBAL,yuso_kubun+chokyoshimei,1|斎藤誠,139,207.5,107.4,0.508
GLOBAL,yuso_kubun+chokyoshimei,1|新谷功一,60,51.5,56.5,0.361
GLOBAL,yuso_kubun+chokyoshimei,1|新開幸一,83,102.1,74.0,0.415
GLOBAL,yuso_kubun+chokyoshimei,1|昆貢,158,54.3,64.7,0.532
GLOBAL,yuso_kubun+chokyoshimei,1|木原一良,68,37.7,46.2,0.381
GLOBAL,yuso_kubun+chokyoshimei,1|木村哲也,60,103.3,82.0,0.361
GLOBAL,yuso_kubun+chokyoshimei,1|本田優,116,27.6,79.3,0.474
GLOBAL,yuso_kubun+chokyoshimei,1|本間忍,59,44.3,35.7,0.359
GLOBAL,yuso_kubun+chokyoshimei,1|杉山佳明,67,99.0,156.5,0.379
