segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,03_芝_中距離,umaban,01,393,40.3,62.6,0.704
COURSE_27,03_芝_中距離,umaban,02,391,60.1,87.1,0.703
COURSE_27,03_芝_中距離,umaban,03,393,72.7,74.8,0.704
COURSE_27,03_芝_中距離,umaban,04,391,33.2,43.8,0.703
COURSE_27,03_芝_中距離,umaban,05,390,58.2,82.7,0.703
COURSE_27,03_芝_中距離,umaban,06,392,114.8,80.4,0.704
COURSE_27,03_芝_中距離,umaban,07,392,58.6,98.5,0.704
COURSE_27,03_芝_中距離,umaban,08,386,114.6,71.5,0.701
COURSE_27,03_芝_中距離,umaban,09,380,49.1,65.4,0.698
COURSE_27,03_芝_中距離,umaban,10,373,67.0,114.4,0.695
COURSE_27,03_芝_中距離,umaban,11,351,36.5,51.5,0.684
COURSE_27,03_芝_中距離,umaban,12,328,52.7,73.6,0.671
COURSE_27,03_芝_中距離,umaban,13,308,46.9,69.7,0.66
COURSE_27,03_芝_中距離,umaban,14,280,99.0,75.4,0.642
COURSE_27,03_芝_中距離,umaban,15,244,155.6,68.7,0.616
COURSE_27,03_芝_中距離,umaban,16,215,66.0,62.6,0.591
