segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,kishu_shisu,0.0,60,77.6,74.2,0.361
SURFACE_2_ダ,kishu_shisu,0.1,1135,137.8,92.3,0.86
SURFACE_2_ダ,kishu_shisu,0.2,4047,79.9,75.0,0.954
SURFACE_2_ダ,kishu_shisu,0.3,1502,53.8,75.5,0.889
SURFACE_2_ダ,kishu_shisu,0.4,4767,80.2,85.5,0.961
SURFACE_2_ダ,kishu_shisu,0.5,858,68.2,72.3,0.826
SURFACE_2_ダ,kishu_shisu,0.6,2836,73.2,68.1,0.936
SURFACE_2_ダ,kishu_shisu,0.7,1861,95.7,80.5,0.907
SURFACE_2_ダ,kishu_shisu,0.8,1984,86.6,83.1,0.912
SURFACE_2_ダ,kishu_shisu,0.9,1541,74.9,77.2,0.891
SURFACE_2_ダ,kishu_shisu,1.0,694,96.0,86.3,0.796
SURFACE_2_ダ,kishu_shisu,1.1,1287,72.7,80.9,0.873
SURFACE_2_ダ,kishu_shisu,1.2,814,75.3,74.1,0.819
SURFACE_2_ダ,kishu_shisu,1.3,1095,64.4,74.5,0.856
SURFACE_2_ダ,kishu_shisu,1.4,1542,92.1,77.5,0.891
SURFACE_2_ダ,kishu_shisu,1.5,466,62.4,78.3,0.734
SURFACE_2_ダ,kishu_shisu,1.6,1605,76.5,77.3,0.895
SURFACE_2_ダ,kishu_shisu,1.7,284,57.7,70.0,0.644
SURFACE_2_ダ,kishu_shisu,1.8,455,75.3,74.9,0.729
SURFACE_2_ダ,kishu_shisu,1.9,650,87.9,86.1,0.787
SURFACE_2_ダ,kishu_shisu,2.0,156,80.2,89.3,0.53
SURFACE_2_ダ,kishu_shisu,2.1,864,82.3,80.7,0.827
SURFACE_2_ダ,kishu_shisu,2.2,115,78.3,78.3,0.473
SURFACE_2_ダ,kishu_shisu,2.3,484,87.4,81.1,0.74
SURFACE_2_ダ,kishu_shisu,2.4,566,73.7,74.8,0.765
SURFACE_2_ダ,kishu_shisu,2.5,153,80.2,85.9,0.526
SURFACE_2_ダ,kishu_shisu,2.6,795,78.3,81.2,0.816
SURFACE_2_ダ,kishu_shisu,2.7,160,65.5,79.4,0.535
SURFACE_2_ダ,kishu_shisu,2.8,98,80.1,93.5,0.444
SURFACE_2_ダ,kishu_shisu,2.9,199,68.3,83.3,0.576
SURFACE_2_ダ,kishu_shisu,3.0,111,75.4,85.9,0.466
SURFACE_2_ダ,kishu_shisu,3.1,784,73.8,82.5,0.814
SURFACE_2_ダ,kishu_shisu,3.2,122,82.3,93.4,0.483
SURFACE_2_ダ,kishu_shisu,3.3,83,84.6,87.9,0.415
SURFACE_2_ダ,kishu_shisu,3.4,176,66.4,84.4,0.553
SURFACE_2_ダ,kishu_shisu,3.5,139,63.6,82.7,0.508
