segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,hizume_code,01,112,22.0,78.0,0.468
SURFACE_2_ダ,hizume_code,02,1737,75.2,79.3,0.902
SURFACE_2_ダ,hizume_code,03,2578,91.1,74.7,0.93
SURFACE_2_ダ,hizume_code,04,308,93.7,81.3,0.66
SURFACE_2_ダ,hizume_code,06,294,73.1,86.0,0.651
SURFACE_2_ダ,hizume_code,07,345,95.9,76.7,0.681
SURFACE_2_ダ,hizume_code,08,37,53.4,32.1,0.291
SURFACE_2_ダ,hizume_code,09,257,98.6,84.2,0.625
SURFACE_2_ダ,hizume_code,10,5349,77.8,79.2,0.965
SURFACE_2_ダ,hizume_code,11,2496,79.9,82.6,0.928
SURFACE_2_ダ,hizume_code,12,281,70.8,84.6,0.642
SURFACE_2_ダ,hizume_code,17,140,47.2,57.6,0.509
SURFACE_2_ダ,hizume_code,18,2395,103.9,91.2,0.926
SURFACE_2_ダ,hizume_code,19,2095,65.9,82.9,0.916
SURFACE_2_ダ,hizume_code,20,180,80.4,65.6,0.557
SURFACE_2_ダ,hizume_code,21,360,68.7,93.0,0.688
SURFACE_2_ダ,hizume_code,22,6278,73.0,76.9,0.97
SURFACE_2_ダ,hizume_code,23,6495,85.0,80.1,0.971
SURFACE_2_ダ,hizume_code,24,863,66.9,67.3,0.827
