segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,03_障_長距離,umaban,01,135,297.4,78.1,0.502
COURSE_27,03_障_長距離,umaban,02,136,63.1,55.2,0.504
COURSE_27,03_障_長距離,umaban,03,142,58.0,55.0,0.512
COURSE_27,03_障_長距離,umaban,04,140,66.1,50.9,0.509
COURSE_27,03_障_長距離,umaban,05,142,146.7,106.7,0.512
COURSE_27,03_障_長距離,umaban,06,137,100.0,90.7,0.505
COURSE_27,03_障_長距離,umaban,07,139,68.8,76.4,0.508
COURSE_27,03_障_長距離,umaban,08,135,67.0,101.0,0.502
COURSE_27,03_障_長距離,umaban,09,131,24.1,54.7,0.497
COURSE_27,03_障_長距離,umaban,10,128,68.1,115.6,0.492
COURSE_27,03_障_長距離,umaban,11,102,47.6,44.4,0.451
COURSE_27,03_障_長距離,umaban,12,93,90.4,69.0,0.434
COURSE_27,03_障_長距離,umaban,13,75,99.8,68.0,0.397
COURSE_27,03_障_長距離,umaban,14,61,29.4,42.7,0.364
