segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,02_芝_長距離,prev3_chakujun,10.0,37,9.2,49.0,0.291
COURSE_27,02_芝_長距離,prev3_chakujun,11.0,30,82.4,40.3,0.264
COURSE_27,02_芝_長距離,prev3_chakujun,2.0,42,103.0,63.2,0.308
COURSE_27,02_芝_長距離,prev3_chakujun,3.0,37,27.1,96.1,0.291
COURSE_27,02_芝_長距離,prev3_chakujun,4.0,51,75.2,95.8,0.336
COURSE_27,02_芝_長距離,prev3_chakujun,5.0,40,82.0,56.6,0.302
COURSE_27,02_芝_長距離,prev3_chakujun,6.0,37,20.0,82.9,0.291
COURSE_27,02_芝_長距離,prev3_chakujun,7.0,35,208.1,152.1,0.284
COURSE_27,02_芝_長距離,prev3_chakujun,8.0,37,328.9,121.3,0.291
COURSE_27,02_芝_長距離,prev3_chakujun,9.0,32,81.2,66.1,0.272
