segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,05_ダ_長距離,prev1_chakujun,1.0,46,76.6,61.9,0.321
COURSE_27,05_ダ_長距離,prev1_chakujun,10.0,46,0.0,70.0,0.321
COURSE_27,05_ダ_長距離,prev1_chakujun,11.0,39,10.7,13.1,0.298
COURSE_27,05_ダ_長距離,prev1_chakujun,12.0,36,3.8,2.3,0.287
COURSE_27,05_ダ_長距離,prev1_chakujun,2.0,53,35.5,58.2,0.342
COURSE_27,05_ダ_長距離,prev1_chakujun,3.0,57,29.9,62.4,0.353
COURSE_27,05_ダ_長距離,prev1_chakujun,4.0,62,50.6,89.3,0.366
COURSE_27,05_ダ_長距離,prev1_chakujun,5.0,63,75.2,69.2,0.369
COURSE_27,05_ダ_長距離,prev1_chakujun,6.0,58,209.7,78.1,0.356
COURSE_27,05_ダ_長距離,prev1_chakujun,7.0,71,86.2,91.0,0.388
COURSE_27,05_ダ_長距離,prev1_chakujun,8.0,53,6.8,139.5,0.342
COURSE_27,05_ダ_長距離,prev1_chakujun,9.0,61,155.4,111.8,0.364
