segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,03_芝_短距離,prev1_corner4,00,209,58.2,66.5,0.586
COURSE_27,03_芝_短距離,prev1_corner4,01,436,69.9,76.1,0.722
COURSE_27,03_芝_短距離,prev1_corner4,02,520,54.1,65.0,0.752
COURSE_27,03_芝_短距離,prev1_corner4,03,433,73.1,80.4,0.721
COURSE_27,03_芝_短距離,prev1_corner4,04,308,54.1,63.2,0.66
COURSE_27,03_芝_短距離,prev1_corner4,05,309,65.8,82.4,0.66
COURSE_27,03_芝_短距離,prev1_corner4,06,310,152.1,78.4,0.661
COURSE_27,03_芝_短距離,prev1_corner4,07,346,73.5,79.7,0.681
COURSE_27,03_芝_短距離,prev1_corner4,08,288,94.1,67.9,0.647
COURSE_27,03_芝_短距離,prev1_corner4,09,263,121.2,113.3,0.63
COURSE_27,03_芝_短距離,prev1_corner4,10,271,13.5,54.2,0.636
COURSE_27,03_芝_短距離,prev1_corner4,11,208,22.9,87.7,0.585
COURSE_27,03_芝_短距離,prev1_corner4,12,202,21.4,114.2,0.579
COURSE_27,03_芝_短距離,prev1_corner4,13,183,47.9,145.2,0.56
COURSE_27,03_芝_短距離,prev1_corner4,14,157,22.3,86.3,0.531
COURSE_27,03_芝_短距離,prev1_corner4,15,129,30.7,39.8,0.494
COURSE_27,03_芝_短距離,prev1_corner4,16,93,65.1,39.6,0.434
COURSE_27,03_芝_短距離,prev1_corner4,17,43,3.7,47.9,0.312
