segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,04_芝_短距離,prev3_chakujun,1.0,356,49.8,69.7,0.686
COURSE_27,04_芝_短距離,prev3_chakujun,10.0,274,66.5,63.7,0.638
COURSE_27,04_芝_短距離,prev3_chakujun,11.0,291,85.0,85.5,0.649
COURSE_27,04_芝_短距離,prev3_chakujun,12.0,254,30.8,60.1,0.623
COURSE_27,04_芝_短距離,prev3_chakujun,13.0,204,121.8,95.0,0.581
COURSE_27,04_芝_短距離,prev3_chakujun,14.0,198,32.3,48.3,0.575
COURSE_27,04_芝_短距離,prev3_chakujun,15.0,198,18.0,52.7,0.575
COURSE_27,04_芝_短距離,prev3_chakujun,16.0,143,89.1,47.2,0.513
COURSE_27,04_芝_短距離,prev3_chakujun,17.0,32,52.6,87.0,0.272
COURSE_27,04_芝_短距離,prev3_chakujun,18.0,35,13.3,8.9,0.284
COURSE_27,04_芝_短距離,prev3_chakujun,2.0,286,62.1,67.3,0.646
COURSE_27,04_芝_短距離,prev3_chakujun,3.0,291,68.6,131.0,0.649
COURSE_27,04_芝_短距離,prev3_chakujun,4.0,291,92.6,69.1,0.649
COURSE_27,04_芝_短距離,prev3_chakujun,5.0,296,100.0,79.4,0.652
COURSE_27,04_芝_短距離,prev3_chakujun,6.0,269,57.2,68.0,0.634
COURSE_27,04_芝_短距離,prev3_chakujun,7.0,302,61.3,65.5,0.656
COURSE_27,04_芝_短距離,prev3_chakujun,8.0,319,53.5,106.3,0.666
COURSE_27,04_芝_短距離,prev3_chakujun,9.0,242,48.7,48.6,0.614
