segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|1-3|2,182,135.2,97.0,0.559
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|1-3|3,3258,76.2,75.7,0.944
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|1-3|4,2189,81.9,81.0,0.92
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|1-3|5,1362,77.2,77.5,0.879
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|1-3|6,554,115.7,72.5,0.762
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|1-3|7,170,96.4,78.7,0.546
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|1-3|8,37,5.4,54.1,0.291
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|10+|2,58,5.1,39.2,0.356
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|10+|3,1894,96.1,86.6,0.909
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|10+|4,1355,46.0,64.2,0.879
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|10+|5,997,80.3,87.4,0.845
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|10+|6,503,120.6,104.7,0.746
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|10+|7,229,11.5,59.2,0.603
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|10+|8,84,48.3,63.7,0.417
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|4-6|2,93,42.3,61.1,0.434
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|4-6|3,2116,75.8,77.1,0.917
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|4-6|4,1432,87.4,73.3,0.884
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|4-6|5,926,122.5,93.8,0.836
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|4-6|6,352,55.2,78.3,0.684
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|4-6|7,108,109.1,85.9,0.461
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|4-6|8,30,0.0,0.0,0.264
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|7-9|2,67,10.5,39.2,0.379
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|7-9|3,1709,87.3,76.1,0.9
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|7-9|4,1181,85.4,79.2,0.864
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|7-9|5,792,65.3,66.9,0.815
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|7-9|6,345,70.9,81.1,0.681
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|7-9|7,117,88.1,44.0,0.476
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,H|7-9|8,36,160.9,246.6,0.287
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|1-3|2,692,72.3,73.5,0.796
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|1-3|3,1982,74.1,78.1,0.912
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|1-3|4,646,74.7,93.2,0.786
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|1-3|5,336,40.3,69.3,0.676
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|1-3|6,119,70.8,59.9,0.479
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|1-3|7,34,0.0,77.1,0.28
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|10+|2,203,59.5,71.8,0.58
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|10+|3,1585,98.2,78.0,0.894
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|10+|4,472,35.2,81.3,0.736
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|10+|5,291,77.8,87.0,0.649
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|10+|6,121,77.7,37.1,0.482
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|10+|7,50,0.0,63.7,0.333
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|4-6|2,446,94.0,81.0,0.726
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|4-6|3,1570,90.2,85.7,0.893
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|4-6|4,519,53.7,90.6,0.751
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|4-6|5,275,64.9,57.7,0.638
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|4-6|6,91,123.4,82.1,0.431
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|7-9|2,313,69.8,74.7,0.663
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|7-9|3,1328,72.8,81.6,0.877
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|7-9|4,409,47.4,55.5,0.711
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|7-9|5,246,185.4,87.5,0.617
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|7-9|6,116,156.1,101.7,0.474
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,M|7-9|7,36,25.1,69.0,0.287
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|1-3|2,1022,68.9,77.2,0.848
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|1-3|3,262,109.8,76.5,0.629
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|1-3|4,44,30.0,56.1,0.315
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|1-3|5,35,28.3,47.1,0.284
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|10+|2,367,128.2,76.1,0.692
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|10+|3,273,86.6,68.1,0.637
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|10+|4,34,15.4,79.1,0.28
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|4-6|2,770,65.4,81.9,0.811
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|4-6|3,187,90.6,70.9,0.564
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|4-6|4,35,14.7,92.8,0.284
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|7-9|2,497,85.2,92.7,0.744
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|7-9|3,218,78.2,83.1,0.594
SURFACE_2_芝,pace_yoso+prev1_corner4_bin+barei,S|7-9|4,46,68.2,68.1,0.321
