segment,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,prev2_chakujun,1.0,5738,78.3,71.3,0.967
COURSE_27,prev2_chakujun,10.0,3764,85.7,81.6,0.951
COURSE_27,prev2_chakujun,11.0,3175,89.7,80.1,0.942
COURSE_27,prev2_chakujun,12.0,2751,73.0,78.7,0.934
COURSE_27,prev2_chakujun,13.0,2269,76.1,83.9,0.922
COURSE_27,prev2_chakujun,14.0,1862,45.7,72.2,0.907
COURSE_27,prev2_chakujun,15.0,1359,85.5,77.7,0.879
COURSE_27,prev2_chakujun,16.0,977,128.4,99.4,0.842
COURSE_27,prev2_chakujun,17.0,218,43.5,81.5,0.594
COURSE_27,prev2_chakujun,18.0,152,104.7,111.3,0.525
COURSE_27,prev2_chakujun,2.0,6866,69.6,77.1,0.972
COURSE_27,prev2_chakujun,3.0,6801,77.5,75.9,0.972
COURSE_27,prev2_chakujun,4.0,6641,82.6,80.9,0.971
COURSE_27,prev2_chakujun,5.0,6264,88.3,84.6,0.97
COURSE_27,prev2_chakujun,6.0,5843,85.5,81.2,0.967
COURSE_27,prev2_chakujun,7.0,5409,77.6,83.1,0.965
COURSE_27,prev2_chakujun,8.0,4898,83.9,82.9,0.962
COURSE_27,prev2_chakujun,9.0,4368,99.2,78.3,0.957
