segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,02_ダ_中距離,umaban,01,255,130.2,104.0,0.624
COURSE_27,02_ダ_中距離,umaban,02,257,46.6,73.1,0.625
COURSE_27,02_ダ_中距離,umaban,03,256,65.5,98.1,0.625
COURSE_27,02_ダ_中距離,umaban,04,256,86.7,96.0,0.625
COURSE_27,02_ダ_中距離,umaban,05,253,37.2,65.3,0.622
COURSE_27,02_ダ_中距離,umaban,06,254,104.5,57.1,0.623
COURSE_27,02_ダ_中距離,umaban,07,253,86.7,86.5,0.622
COURSE_27,02_ダ_中距離,umaban,08,254,69.4,56.1,0.623
COURSE_27,02_ダ_中距離,umaban,09,250,117.2,89.3,0.62
COURSE_27,02_ダ_中距離,umaban,10,235,38.5,72.9,0.608
COURSE_27,02_ダ_中距離,umaban,11,213,86.8,71.0,0.589
COURSE_27,02_ダ_中距離,umaban,12,176,146.7,100.8,0.553
COURSE_27,02_ダ_中距離,umaban,13,148,66.8,65.0,0.52
COURSE_27,02_ダ_中距離,umaban,14,101,32.9,58.9,0.449
