segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|三浦皇成,101,132.7,129.2,0.449
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|中井裕二,34,126.0,46.2,0.28
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|丸山元気,139,40.1,104.3,0.508
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|丸田恭介,76,81.5,63.5,0.4
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|丹内祐次,193,95.4,84.1,0.57
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|亀田温心,53,62.3,75.0,0.342
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|井上敏樹,44,65.0,65.0,0.315
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|今村聖奈,33,99.8,74.6,0.276
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|佐々木大輔,80,88.7,65.2,0.408
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|内田博幸,129,21.6,70.8,0.494
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|加藤祥太,53,64.9,92.1,0.342
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|勝浦正樹,99,20.8,93.9,0.445
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|北村友一,67,129.4,92.2,0.379
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|北村宏司,53,60.6,103.9,0.342
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|原優介,55,37.7,46.5,0.348
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|原田和真,40,6.2,91.2,0.302
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|古川吉洋,76,44.9,33.1,0.4
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|吉田豊,81,80.1,69.1,0.41
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|吉田隼人,128,28.5,78.0,0.492
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|和田竜二,34,117.7,53.7,0.28
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|団野大成,42,97.2,96.2,0.308
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|国分恭介,35,62.9,54.6,0.284
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|坂井瑠星,47,70.4,125.0,0.324
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|城戸義政,31,33.7,51.7,0.268
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|大野拓弥,103,91.6,89.3,0.453
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|宮崎北斗,33,82.2,51.8,0.276
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|富田暁,52,119.6,110.5,0.339
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|小崎綾也,30,5.5,124.4,0.264
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|小林凌大,41,8.2,53.7,0.305
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|小林美駒,49,100.9,129.3,0.33
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|小林脩斗,32,102.2,95.3,0.272
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|小沢大仁,64,116.0,89.9,0.371
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|岩田康誠,83,24.4,76.6,0.415
