segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,04_ダ_短距離,taikei_dou,211,85,70.2,44.8,0.419
COURSE_27,04_ダ_短距離,taikei_dou,22,151,76.7,82.9,0.523
COURSE_27,04_ダ_短距離,taikei_dou,221,141,24.5,55.7,0.511
COURSE_27,04_ダ_短距離,taikei_dou,222,2179,76.1,82.6,0.919
COURSE_27,04_ダ_短距離,taikei_dou,223,150,16.0,31.4,0.522
COURSE_27,04_ダ_短距離,taikei_dou,232,977,93.6,82.3,0.842
COURSE_27,04_ダ_短距離,taikei_dou,233,1098,61.1,61.0,0.856
COURSE_27,04_ダ_短距離,taikei_dou,32,103,50.5,76.1,0.453
COURSE_27,04_ダ_短距離,taikei_dou,322,161,41.1,74.4,0.536
COURSE_27,04_ダ_短距離,taikei_dou,323,278,58.6,46.8,0.64
COURSE_27,04_ダ_短距離,taikei_dou,33,177,38.1,47.4,0.554
COURSE_27,04_ダ_短距離,taikei_dou,332,176,61.3,85.5,0.553
COURSE_27,04_ダ_短距離,taikei_dou,333,777,49.3,65.3,0.812
