segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,manken_shisu,0.0,30,169.6,68.1,0.264
SURFACE_2_ダ,manken_shisu,10.0,129,70.6,57.4,0.494
SURFACE_2_ダ,manken_shisu,11.0,151,87.9,75.1,0.523
SURFACE_2_ダ,manken_shisu,12.0,189,90.6,43.2,0.566
SURFACE_2_ダ,manken_shisu,13.0,214,121.8,91.2,0.59
SURFACE_2_ダ,manken_shisu,14.0,225,37.8,87.6,0.6
SURFACE_2_ダ,manken_shisu,15.0,280,68.5,63.7,0.642
SURFACE_2_ダ,manken_shisu,16.0,314,123.2,68.1,0.663
SURFACE_2_ダ,manken_shisu,17.0,324,108.9,100.3,0.669
SURFACE_2_ダ,manken_shisu,18.0,368,64.4,52.0,0.692
SURFACE_2_ダ,manken_shisu,19.0,385,97.9,85.5,0.7
SURFACE_2_ダ,manken_shisu,20.0,456,78.9,64.5,0.73
SURFACE_2_ダ,manken_shisu,21.0,553,75.3,104.7,0.762
SURFACE_2_ダ,manken_shisu,22.0,548,64.3,66.5,0.76
SURFACE_2_ダ,manken_shisu,23.0,647,118.4,73.5,0.786
SURFACE_2_ダ,manken_shisu,24.0,728,67.0,59.5,0.803
SURFACE_2_ダ,manken_shisu,25.0,776,74.7,81.7,0.812
SURFACE_2_ダ,manken_shisu,26.0,790,49.6,84.4,0.815
SURFACE_2_ダ,manken_shisu,27.0,851,71.2,73.1,0.825
SURFACE_2_ダ,manken_shisu,28.0,999,67.9,78.2,0.845
SURFACE_2_ダ,manken_shisu,29.0,936,80.5,79.9,0.837
SURFACE_2_ダ,manken_shisu,30.0,1041,100.3,86.7,0.85
SURFACE_2_ダ,manken_shisu,31.0,1006,68.2,66.1,0.846
SURFACE_2_ダ,manken_shisu,32.0,1046,86.3,90.0,0.851
SURFACE_2_ダ,manken_shisu,33.0,1063,88.9,73.7,0.852
SURFACE_2_ダ,manken_shisu,34.0,1006,69.2,64.5,0.846
SURFACE_2_ダ,manken_shisu,35.0,1124,93.8,94.5,0.859
SURFACE_2_ダ,manken_shisu,36.0,1049,82.2,89.6,0.851
SURFACE_2_ダ,manken_shisu,37.0,1109,96.0,93.6,0.857
SURFACE_2_ダ,manken_shisu,38.0,1065,115.9,80.0,0.853
SURFACE_2_ダ,manken_shisu,39.0,1019,85.6,80.1,0.847
SURFACE_2_ダ,manken_shisu,4.0,47,0.0,69.3,0.324
SURFACE_2_ダ,manken_shisu,40.0,957,71.8,70.5,0.84
SURFACE_2_ダ,manken_shisu,41.0,982,67.4,77.0,0.843
SURFACE_2_ダ,manken_shisu,42.0,968,83.2,77.6,0.841
SURFACE_2_ダ,manken_shisu,43.0,873,61.8,81.0,0.828
SURFACE_2_ダ,manken_shisu,44.0,854,64.0,78.3,0.825
SURFACE_2_ダ,manken_shisu,45.0,839,78.1,82.8,0.823
SURFACE_2_ダ,manken_shisu,46.0,743,54.3,76.9,0.806
SURFACE_2_ダ,manken_shisu,47.0,657,65.1,74.4,0.788
SURFACE_2_ダ,manken_shisu,48.0,674,81.9,75.2,0.792
SURFACE_2_ダ,manken_shisu,49.0,604,73.7,80.0,0.776
SURFACE_2_ダ,manken_shisu,5.0,42,98.0,88.7,0.308
SURFACE_2_ダ,manken_shisu,50.0,555,70.5,68.8,0.762
SURFACE_2_ダ,manken_shisu,51.0,527,80.7,71.8,0.754
SURFACE_2_ダ,manken_shisu,52.0,470,72.9,68.9,0.735
SURFACE_2_ダ,manken_shisu,53.0,456,76.8,95.4,0.73
SURFACE_2_ダ,manken_shisu,54.0,377,48.9,82.7,0.697
SURFACE_2_ダ,manken_shisu,55.0,358,80.1,91.8,0.687
SURFACE_2_ダ,manken_shisu,56.0,287,87.0,78.8,0.646
SURFACE_2_ダ,manken_shisu,57.0,268,178.3,104.6,0.633
SURFACE_2_ダ,manken_shisu,58.0,243,179.7,102.2,0.615
SURFACE_2_ダ,manken_shisu,59.0,207,71.8,90.1,0.584
SURFACE_2_ダ,manken_shisu,6.0,60,118.0,52.0,0.361
SURFACE_2_ダ,manken_shisu,60.0,198,85.3,73.9,0.575
SURFACE_2_ダ,manken_shisu,61.0,193,74.0,84.8,0.57
SURFACE_2_ダ,manken_shisu,62.0,141,105.2,87.8,0.511
SURFACE_2_ダ,manken_shisu,63.0,104,20.1,87.3,0.454
SURFACE_2_ダ,manken_shisu,64.0,120,126.8,138.2,0.48
SURFACE_2_ダ,manken_shisu,65.0,120,45.3,72.1,0.48
SURFACE_2_ダ,manken_shisu,66.0,86,70.2,118.0,0.421
SURFACE_2_ダ,manken_shisu,67.0,74,75.6,96.9,0.395
SURFACE_2_ダ,manken_shisu,68.0,63,49.6,70.0,0.369
SURFACE_2_ダ,manken_shisu,69.0,58,145.9,126.5,0.356
SURFACE_2_ダ,manken_shisu,7.0,77,20.5,86.2,0.402
SURFACE_2_ダ,manken_shisu,70.0,43,70.4,59.1,0.312
SURFACE_2_ダ,manken_shisu,71.0,49,82.8,118.7,0.33
SURFACE_2_ダ,manken_shisu,72.0,33,10.7,58.2,0.276
SURFACE_2_ダ,manken_shisu,73.0,33,88.3,150.5,0.276
SURFACE_2_ダ,manken_shisu,8.0,85,60.4,44.6,0.419
SURFACE_2_ダ,manken_shisu,9.0,100,47.5,34.9,0.447
