segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,05_芝_マイル,prev3_chakujun,1.0,193,51.2,70.8,0.57
COURSE_27,05_芝_マイル,prev3_chakujun,10.0,93,179.9,89.8,0.434
COURSE_27,05_芝_マイル,prev3_chakujun,11.0,83,33.1,25.5,0.415
COURSE_27,05_芝_マイル,prev3_chakujun,12.0,68,50.8,48.6,0.381
COURSE_27,05_芝_マイル,prev3_chakujun,13.0,59,40.1,63.7,0.359
COURSE_27,05_芝_マイル,prev3_chakujun,14.0,39,14.0,29.7,0.298
COURSE_27,05_芝_マイル,prev3_chakujun,15.0,42,19.2,28.7,0.308
COURSE_27,05_芝_マイル,prev3_chakujun,2.0,141,113.1,83.3,0.511
COURSE_27,05_芝_マイル,prev3_chakujun,3.0,139,32.2,71.9,0.508
COURSE_27,05_芝_マイル,prev3_chakujun,4.0,123,56.5,44.2,0.485
COURSE_27,05_芝_マイル,prev3_chakujun,5.0,115,85.7,104.0,0.473
COURSE_27,05_芝_マイル,prev3_chakujun,6.0,99,38.7,74.4,0.445
COURSE_27,05_芝_マイル,prev3_chakujun,7.0,98,18.9,44.0,0.444
COURSE_27,05_芝_マイル,prev3_chakujun,8.0,81,440.5,111.7,0.41
COURSE_27,05_芝_マイル,prev3_chakujun,9.0,85,59.1,38.5,0.419
