segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,sanchimei,むかわ,309,73.3,70.6,0.66
SURFACE_2_ダ,sanchimei,千歳,2523,69.9,81.9,0.929
SURFACE_2_ダ,sanchimei,厚真,32,47.0,133.7,0.272
SURFACE_2_ダ,sanchimei,安平,3079,70.8,75.7,0.941
SURFACE_2_ダ,sanchimei,平取,614,85.1,70.6,0.778
SURFACE_2_ダ,sanchimei,愛,53,51.5,47.3,0.342
SURFACE_2_ダ,sanchimei,新ひだか,8026,88.1,77.9,0.976
SURFACE_2_ダ,sanchimei,新冠,4927,74.2,79.4,0.962
SURFACE_2_ダ,sanchimei,日高,5530,75.3,78.4,0.966
SURFACE_2_ダ,sanchimei,栃木,69,31.1,39.3,0.384
SURFACE_2_ダ,sanchimei,様似,343,67.7,68.9,0.679
SURFACE_2_ダ,sanchimei,洞爺湖,164,57.4,74.2,0.539
SURFACE_2_ダ,sanchimei,浦河,6476,89.7,84.0,0.97
SURFACE_2_ダ,sanchimei,清水,41,100.8,123.4,0.305
SURFACE_2_ダ,sanchimei,登別,93,96.9,64.3,0.434
SURFACE_2_ダ,sanchimei,白老,743,80.4,64.4,0.806
SURFACE_2_ダ,sanchimei,米,1013,68.2,88.2,0.847
SURFACE_2_ダ,sanchimei,英,67,87.9,84.9,0.379
SURFACE_2_ダ,sanchimei,豊浦,32,125.6,91.2,0.272
SURFACE_2_ダ,sanchimei,青森,191,76.7,69.8,0.568
