segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,04_芝_短距離,bamei_hahachichi,アグネスタキオン,114,71.6,61.3,0.471
COURSE_27,04_芝_短距離,bamei_hahachichi,アグネスデジタル,47,9.7,27.4,0.324
COURSE_27,04_芝_短距離,bamei_hahachichi,アドマイヤマックス,31,0.0,52.8,0.268
COURSE_27,04_芝_短距離,bamei_hahachichi,アドマイヤムーン,57,108.1,57.1,0.353
COURSE_27,04_芝_短距離,bamei_hahachichi,キングカメハメハ,124,26.8,87.6,0.486
COURSE_27,04_芝_短距離,bamei_hahachichi,キングヘイロー,43,316.2,125.2,0.312
COURSE_27,04_芝_短距離,bamei_hahachichi,キングマンボ,30,0.0,28.1,0.264
COURSE_27,04_芝_短距離,bamei_hahachichi,クロフネ,104,28.2,67.6,0.454
COURSE_27,04_芝_短距離,bamei_hahachichi,グラスワンダー,46,13.2,25.3,0.321
COURSE_27,04_芝_短距離,bamei_hahachichi,サウスヴィグラス,35,48.0,58.9,0.284
COURSE_27,04_芝_短距離,bamei_hahachichi,サクラバクシンオー,179,84.7,58.9,0.556
COURSE_27,04_芝_短距離,bamei_hahachichi,サンデーサイレンス,130,120.6,62.9,0.495
COURSE_27,04_芝_短距離,bamei_hahachichi,シンボリクリスエス,73,15.6,47.6,0.393
COURSE_27,04_芝_短距離,bamei_hahachichi,ジャングルポケット,57,19.3,58.2,0.353
COURSE_27,04_芝_短距離,bamei_hahachichi,ステイゴールド,56,139.0,50.6,0.35
COURSE_27,04_芝_短距離,bamei_hahachichi,スペシャルウィーク,98,101.1,142.7,0.444
COURSE_27,04_芝_短距離,bamei_hahachichi,ゼンノロブロイ,49,26.8,62.5,0.33
COURSE_27,04_芝_短距離,bamei_hahachichi,タイキシャトル,100,66.6,79.9,0.447
COURSE_27,04_芝_短距離,bamei_hahachichi,タニノギムレット,34,11.3,39.4,0.28
COURSE_27,04_芝_短距離,bamei_hahachichi,ダイワメジャー,103,97.0,68.2,0.453
COURSE_27,04_芝_短距離,bamei_hahachichi,ダンスインザダーク,107,39.4,74.1,0.459
COURSE_27,04_芝_短距離,bamei_hahachichi,ディープインパクト,105,91.1,55.5,0.456
COURSE_27,04_芝_短距離,bamei_hahachichi,ネオユニヴァース,112,66.6,94.1,0.468
COURSE_27,04_芝_短距離,bamei_hahachichi,ハーツクライ,78,40.8,117.3,0.404
COURSE_27,04_芝_短距離,bamei_hahachichi,フジキセキ,148,142.5,93.1,0.52
COURSE_27,04_芝_短距離,bamei_hahachichi,フレンチデピュティ,128,3.2,111.4,0.492
COURSE_27,04_芝_短距離,bamei_hahachichi,ブライアンズタイム,85,27.9,47.4,0.419
COURSE_27,04_芝_短距離,bamei_hahachichi,ボストンハーバー,46,38.7,37.7,0.321
COURSE_27,04_芝_短距離,bamei_hahachichi,マイネルラヴ,31,11.9,64.0,0.268
COURSE_27,04_芝_短距離,bamei_hahachichi,マンハッタンカフェ,61,149.6,68.9,0.364
