segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,05_ダ_マイル,prev1_chakujun,1.0,380,64.3,65.1,0.698
COURSE_27,05_ダ_マイル,prev1_chakujun,10.0,223,111.5,89.3,0.598
COURSE_27,05_ダ_マイル,prev1_chakujun,11.0,219,27.1,90.2,0.595
COURSE_27,05_ダ_マイル,prev1_chakujun,12.0,189,149.3,94.7,0.566
COURSE_27,05_ダ_マイル,prev1_chakujun,13.0,177,1.8,12.5,0.554
COURSE_27,05_ダ_マイル,prev1_chakujun,14.0,150,32.8,82.3,0.522
COURSE_27,05_ダ_マイル,prev1_chakujun,15.0,141,24.6,44.8,0.511
COURSE_27,05_ダ_マイル,prev1_chakujun,16.0,88,6.2,114.8,0.425
COURSE_27,05_ダ_マイル,prev1_chakujun,2.0,252,87.9,77.8,0.622
COURSE_27,05_ダ_マイル,prev1_chakujun,3.0,256,62.6,68.4,0.625
COURSE_27,05_ダ_マイル,prev1_chakujun,4.0,269,60.1,82.0,0.634
COURSE_27,05_ダ_マイル,prev1_chakujun,5.0,265,39.2,75.8,0.631
COURSE_27,05_ダ_マイル,prev1_chakujun,6.0,228,105.2,70.1,0.603
COURSE_27,05_ダ_マイル,prev1_chakujun,7.0,230,122.9,81.3,0.604
COURSE_27,05_ダ_マイル,prev1_chakujun,8.0,243,238.2,122.4,0.615
COURSE_27,05_ダ_マイル,prev1_chakujun,9.0,234,32.8,54.4,0.608
