segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,04_芝_中距離,prev1_corner4,01,314,78.0,69.8,0.663
COURSE_27,04_芝_中距離,prev1_corner4,02,469,69.1,71.3,0.735
COURSE_27,04_芝_中距離,prev1_corner4,03,458,82.5,69.9,0.731
COURSE_27,04_芝_中距離,prev1_corner4,04,365,94.9,84.1,0.691
COURSE_27,04_芝_中距離,prev1_corner4,05,413,53.5,54.0,0.713
COURSE_27,04_芝_中距離,prev1_corner4,06,404,19.9,83.6,0.709
COURSE_27,04_芝_中距離,prev1_corner4,07,432,45.1,87.4,0.721
COURSE_27,04_芝_中距離,prev1_corner4,08,414,86.9,72.7,0.713
COURSE_27,04_芝_中距離,prev1_corner4,09,352,44.9,58.4,0.684
COURSE_27,04_芝_中距離,prev1_corner4,10,327,138.5,92.4,0.671
COURSE_27,04_芝_中距離,prev1_corner4,11,347,27.4,46.3,0.682
COURSE_27,04_芝_中距離,prev1_corner4,12,272,68.1,62.9,0.636
COURSE_27,04_芝_中距離,prev1_corner4,13,251,51.9,63.5,0.621
COURSE_27,04_芝_中距離,prev1_corner4,14,236,177.6,59.2,0.609
COURSE_27,04_芝_中距離,prev1_corner4,15,169,12.6,80.3,0.545
COURSE_27,04_芝_中距離,prev1_corner4,16,100,74.3,32.3,0.447
COURSE_27,04_芝_中距離,prev1_corner4,17,38,152.0,51.3,0.295
