segment,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,bamei_hahachichi,アイネスフウジン,34,54.1,102.0,0.28
COURSE_27,bamei_hahachichi,アイルハヴアナザー,87,55.9,77.8,0.423
COURSE_27,bamei_hahachichi,アカテナンゴ,72,119.5,93.7,0.391
COURSE_27,bamei_hahachichi,アクラメーション,30,209.8,80.1,0.264
COURSE_27,bamei_hahachichi,アグネスタキオン,2242,94.3,76.7,0.921
COURSE_27,bamei_hahachichi,アグネスデジタル,694,77.0,70.3,0.796
COURSE_27,bamei_hahachichi,アグネスワールド,43,17.8,109.6,0.312
COURSE_27,bamei_hahachichi,アサティス,147,57.1,67.5,0.518
COURSE_27,bamei_hahachichi,アザムール,37,29.3,65.7,0.291
COURSE_27,bamei_hahachichi,アジュディケーティング,183,77.3,70.4,0.56
COURSE_27,bamei_hahachichi,アッミラーレ,65,34.3,76.7,0.374
COURSE_27,bamei_hahachichi,アドマイヤコジーン,150,219.2,117.1,0.522
COURSE_27,bamei_hahachichi,アドマイヤジャパン,62,34.3,58.7,0.366
COURSE_27,bamei_hahachichi,アドマイヤドン,35,185.1,85.8,0.284
COURSE_27,bamei_hahachichi,アドマイヤベガ,355,82.4,113.9,0.686
COURSE_27,bamei_hahachichi,アドマイヤマックス,127,110.1,102.5,0.491
COURSE_27,bamei_hahachichi,アドマイヤムーン,566,75.9,82.7,0.765
COURSE_27,bamei_hahachichi,アフリート,646,90.0,79.1,0.786
COURSE_27,bamei_hahachichi,アフリートアレックス,42,44.0,61.0,0.308
COURSE_27,bamei_hahachichi,アメリカンポスト,48,29.8,69.9,0.327
COURSE_27,bamei_hahachichi,アルカセット,91,147.1,87.2,0.431
COURSE_27,bamei_hahachichi,アルザオ,52,32.1,84.7,0.339
COURSE_27,bamei_hahachichi,アルデバラン２,96,183.4,82.9,0.44
COURSE_27,bamei_hahachichi,アルムタワケル,38,31.2,88.3,0.295
COURSE_27,bamei_hahachichi,アンバーシャダイ,84,44.7,110.4,0.417
COURSE_27,bamei_hahachichi,アンブライドルズソング,269,79.0,79.5,0.634
COURSE_27,bamei_hahachichi,アンブライドルド,41,26.8,57.7,0.305
COURSE_27,bamei_hahachichi,アンユージュアルヒート,30,135.2,97.5,0.264
COURSE_27,bamei_hahachichi,イクスチェンジレイト,88,53.3,64.9,0.425
COURSE_27,bamei_hahachichi,イルーシヴクオリティ,133,131.2,64.2,0.5
COURSE_27,bamei_hahachichi,インクルード,55,135.2,129.5,0.348
COURSE_27,bamei_hahachichi,インティカブ,65,39.9,60.9,0.374
COURSE_27,bamei_hahachichi,インディアンチャーリー,72,194.1,138.6,0.391
COURSE_27,bamei_hahachichi,インディアンリッジ,38,60.5,101.2,0.295
COURSE_27,bamei_hahachichi,インヴィンシブルスピリット,124,26.1,82.3,0.486
COURSE_27,bamei_hahachichi,イーグルカフェ,33,130.7,107.5,0.276
COURSE_27,bamei_hahachichi,ウィズアプルーヴァル,56,135.7,115.3,0.35
COURSE_27,bamei_hahachichi,ウイニングチケット,84,60.6,49.3,0.417
COURSE_27,bamei_hahachichi,ウォーエンブレム,282,105.9,71.2,0.643
COURSE_27,bamei_hahachichi,ウォーニング,72,46.3,52.8,0.391
