segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,04_芝_中距離,taikei_dou,111,36,80.8,67.1,0.287
COURSE_27,04_芝_中距離,taikei_dou,211,97,74.1,142.2,0.442
COURSE_27,04_芝_中距離,taikei_dou,22,87,73.5,53.9,0.423
COURSE_27,04_芝_中距離,taikei_dou,221,124,128.9,88.6,0.486
COURSE_27,04_芝_中距離,taikei_dou,222,1845,60.3,66.6,0.907
COURSE_27,04_芝_中距離,taikei_dou,223,221,64.1,76.6,0.597
COURSE_27,04_芝_中距離,taikei_dou,232,832,57.1,71.7,0.822
COURSE_27,04_芝_中距離,taikei_dou,233,738,99.4,59.9,0.805
COURSE_27,04_芝_中距離,taikei_dou,32,55,244.8,101.1,0.348
COURSE_27,04_芝_中距離,taikei_dou,322,86,15.9,28.8,0.421
COURSE_27,04_芝_中距離,taikei_dou,323,247,91.5,70.4,0.618
COURSE_27,04_芝_中距離,taikei_dou,33,117,22.7,53.6,0.476
COURSE_27,04_芝_中距離,taikei_dou,332,145,30.0,43.2,0.516
COURSE_27,04_芝_中距離,taikei_dou,333,551,87.5,82.4,0.761
