segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_芝,manken_shisu,10.0,157,33.9,65.4,0.531
SURFACE_2_芝,manken_shisu,11.0,151,94.2,57.7,0.523
SURFACE_2_芝,manken_shisu,12.0,199,37.9,70.5,0.576
SURFACE_2_芝,manken_shisu,13.0,217,45.6,86.2,0.593
SURFACE_2_芝,manken_shisu,14.0,257,195.7,95.9,0.625
SURFACE_2_芝,manken_shisu,15.0,289,23.2,48.4,0.648
SURFACE_2_芝,manken_shisu,16.0,374,49.1,77.4,0.695
SURFACE_2_芝,manken_shisu,17.0,398,123.2,84.6,0.706
SURFACE_2_芝,manken_shisu,18.0,424,92.7,67.3,0.717
SURFACE_2_芝,manken_shisu,19.0,427,71.1,75.2,0.719
SURFACE_2_芝,manken_shisu,20.0,585,69.0,74.3,0.771
SURFACE_2_芝,manken_shisu,21.0,591,100.0,77.6,0.772
SURFACE_2_芝,manken_shisu,22.0,707,63.7,80.1,0.799
SURFACE_2_芝,manken_shisu,23.0,775,91.0,67.3,0.812
SURFACE_2_芝,manken_shisu,24.0,792,84.5,85.4,0.815
SURFACE_2_芝,manken_shisu,25.0,866,73.8,70.5,0.827
SURFACE_2_芝,manken_shisu,26.0,889,78.2,77.3,0.83
SURFACE_2_芝,manken_shisu,27.0,958,112.5,82.3,0.84
SURFACE_2_芝,manken_shisu,28.0,1055,73.7,77.9,0.852
SURFACE_2_芝,manken_shisu,29.0,1045,83.2,86.8,0.85
SURFACE_2_芝,manken_shisu,30.0,1159,77.0,77.8,0.862
SURFACE_2_芝,manken_shisu,31.0,1140,78.5,78.0,0.86
SURFACE_2_芝,manken_shisu,32.0,1127,61.9,74.7,0.859
SURFACE_2_芝,manken_shisu,33.0,1092,90.0,77.1,0.856
SURFACE_2_芝,manken_shisu,34.0,1285,80.7,76.0,0.873
SURFACE_2_芝,manken_shisu,35.0,1257,81.9,74.6,0.871
SURFACE_2_芝,manken_shisu,36.0,1185,79.9,78.7,0.865
SURFACE_2_芝,manken_shisu,37.0,1240,93.8,74.7,0.87
SURFACE_2_芝,manken_shisu,38.0,1208,103.8,80.9,0.867
SURFACE_2_芝,manken_shisu,39.0,1206,67.2,76.8,0.867
SURFACE_2_芝,manken_shisu,4.0,45,0.0,37.1,0.318
SURFACE_2_芝,manken_shisu,40.0,1240,98.8,84.1,0.87
SURFACE_2_芝,manken_shisu,41.0,1173,77.1,76.2,0.864
SURFACE_2_芝,manken_shisu,42.0,1129,80.6,87.8,0.859
SURFACE_2_芝,manken_shisu,43.0,1156,75.9,87.7,0.862
SURFACE_2_芝,manken_shisu,44.0,1120,66.7,72.3,0.858
SURFACE_2_芝,manken_shisu,45.0,1126,79.3,84.2,0.859
SURFACE_2_芝,manken_shisu,46.0,1009,71.2,81.9,0.846
SURFACE_2_芝,manken_shisu,47.0,993,105.0,92.6,0.844
SURFACE_2_芝,manken_shisu,48.0,984,68.8,82.2,0.843
SURFACE_2_芝,manken_shisu,49.0,905,75.5,88.2,0.833
SURFACE_2_芝,manken_shisu,5.0,34,0.0,46.9,0.28
SURFACE_2_芝,manken_shisu,50.0,896,70.8,75.9,0.831
SURFACE_2_芝,manken_shisu,51.0,786,82.4,84.3,0.814
SURFACE_2_芝,manken_shisu,52.0,726,80.0,73.5,0.803
SURFACE_2_芝,manken_shisu,53.0,648,117.7,86.6,0.786
SURFACE_2_芝,manken_shisu,54.0,612,74.3,81.8,0.778
SURFACE_2_芝,manken_shisu,55.0,564,66.5,77.3,0.765
SURFACE_2_芝,manken_shisu,56.0,553,78.8,76.0,0.762
SURFACE_2_芝,manken_shisu,57.0,488,66.3,77.0,0.741
SURFACE_2_芝,manken_shisu,58.0,436,87.3,76.9,0.722
SURFACE_2_芝,manken_shisu,59.0,354,71.0,79.1,0.685
SURFACE_2_芝,manken_shisu,6.0,66,337.7,116.8,0.376
SURFACE_2_芝,manken_shisu,60.0,330,71.9,73.7,0.672
SURFACE_2_芝,manken_shisu,61.0,296,61.9,66.6,0.652
SURFACE_2_芝,manken_shisu,62.0,257,124.7,71.7,0.625
SURFACE_2_芝,manken_shisu,63.0,232,63.7,55.8,0.606
SURFACE_2_芝,manken_shisu,64.0,206,70.0,74.7,0.583
SURFACE_2_芝,manken_shisu,65.0,176,22.1,62.6,0.553
SURFACE_2_芝,manken_shisu,66.0,148,49.6,90.8,0.52
SURFACE_2_芝,manken_shisu,67.0,158,115.1,97.5,0.532
SURFACE_2_芝,manken_shisu,68.0,118,103.3,91.6,0.477
SURFACE_2_芝,manken_shisu,69.0,112,55.1,66.5,0.468
SURFACE_2_芝,manken_shisu,7.0,77,8.9,61.4,0.402
SURFACE_2_芝,manken_shisu,70.0,87,73.9,56.8,0.423
SURFACE_2_芝,manken_shisu,71.0,70,58.8,66.0,0.386
SURFACE_2_芝,manken_shisu,72.0,79,203.6,81.0,0.406
SURFACE_2_芝,manken_shisu,73.0,57,128.5,78.1,0.353
SURFACE_2_芝,manken_shisu,74.0,51,47.1,24.9,0.336
SURFACE_2_芝,manken_shisu,75.0,40,27.9,86.0,0.302
SURFACE_2_芝,manken_shisu,8.0,82,57.1,112.4,0.412
SURFACE_2_芝,manken_shisu,9.0,78,104.5,82.9,0.404
