segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,03_ダ_中距離,bamei_hahachichi,アグネスタキオン,166,87.0,75.2,0.542
COURSE_27,03_ダ_中距離,bamei_hahachichi,アグネスデジタル,55,61.0,83.9,0.348
COURSE_27,03_ダ_中距離,bamei_hahachichi,アドマイヤベガ,34,4.1,95.4,0.28
COURSE_27,03_ダ_中距離,bamei_hahachichi,アフリート,85,40.4,93.0,0.419
COURSE_27,03_ダ_中距離,bamei_hahachichi,エンドスウィープ,39,31.9,26.0,0.298
COURSE_27,03_ダ_中距離,bamei_hahachichi,エンパイアメーカー,55,208.7,90.9,0.348
COURSE_27,03_ダ_中距離,bamei_hahachichi,キングカメハメハ,174,38.4,61.8,0.551
COURSE_27,03_ダ_中距離,bamei_hahachichi,キングヘイロー,40,29.5,41.3,0.302
COURSE_27,03_ダ_中距離,bamei_hahachichi,クロフネ,180,289.2,78.2,0.557
COURSE_27,03_ダ_中距離,bamei_hahachichi,ゴールドアリュール,93,40.9,57.5,0.434
COURSE_27,03_ダ_中距離,bamei_hahachichi,サウスヴィグラス,34,10.6,62.3,0.28
COURSE_27,03_ダ_中距離,bamei_hahachichi,サクラバクシンオー,60,185.6,108.5,0.361
COURSE_27,03_ダ_中距離,bamei_hahachichi,サンデーサイレンス,244,136.4,90.0,0.616
COURSE_27,03_ダ_中距離,bamei_hahachichi,シンボリクリスエス,124,231.8,87.4,0.486
COURSE_27,03_ダ_中距離,bamei_hahachichi,ジェイドロバリー,32,21.7,96.7,0.272
COURSE_27,03_ダ_中距離,bamei_hahachichi,ジャイアンツコーズウェイ,39,25.9,31.5,0.298
COURSE_27,03_ダ_中距離,bamei_hahachichi,ジャングルポケット,47,56.0,67.9,0.324
COURSE_27,03_ダ_中距離,bamei_hahachichi,ステイゴールド,41,10.6,145.3,0.305
COURSE_27,03_ダ_中距離,bamei_hahachichi,スペシャルウィーク,110,39.4,50.1,0.464
COURSE_27,03_ダ_中距離,bamei_hahachichi,ゼンノロブロイ,63,286.9,86.9,0.369
COURSE_27,03_ダ_中距離,bamei_hahachichi,タイキシャトル,78,91.2,41.8,0.404
COURSE_27,03_ダ_中距離,bamei_hahachichi,タニノギムレット,39,38.6,41.3,0.298
COURSE_27,03_ダ_中距離,bamei_hahachichi,ダイワメジャー,51,47.8,60.7,0.336
COURSE_27,03_ダ_中距離,bamei_hahachichi,ダンスインザダーク,116,25.5,49.2,0.474
COURSE_27,03_ダ_中距離,bamei_hahachichi,ティンバーカントリー,50,260.9,106.2,0.333
COURSE_27,03_ダ_中距離,bamei_hahachichi,ディープインパクト,128,115.6,80.0,0.492
COURSE_27,03_ダ_中距離,bamei_hahachichi,ネオユニヴァース,112,85.9,53.3,0.468
COURSE_27,03_ダ_中距離,bamei_hahachichi,ハーツクライ,74,19.1,62.1,0.395
COURSE_27,03_ダ_中距離,bamei_hahachichi,フォーティナイナー,34,98.3,52.8,0.28
COURSE_27,03_ダ_中距離,bamei_hahachichi,フサイチコンコルド,34,65.3,47.5,0.28
COURSE_27,03_ダ_中距離,bamei_hahachichi,フジキセキ,173,69.5,57.3,0.549
COURSE_27,03_ダ_中距離,bamei_hahachichi,フレンチデピュティ,151,58.0,61.1,0.523
COURSE_27,03_ダ_中距離,bamei_hahachichi,ブライアンズタイム,150,68.9,58.9,0.522
COURSE_27,03_ダ_中距離,bamei_hahachichi,ホワイトマズル,37,27.9,47.5,0.291
COURSE_27,03_ダ_中距離,bamei_hahachichi,マンハッタンカフェ,109,87.4,38.5,0.463
COURSE_27,03_ダ_中距離,bamei_hahachichi,ワイルドラッシュ,50,49.5,79.6,0.333
