segment,segment_value,factors,bin_label,n,win_roi,place_roi,confidence
COURSE_27,03_ダ_中距離,prev1_corner4,01,493,73.9,73.1,0.743
COURSE_27,03_ダ_中距離,prev1_corner4,02,642,141.5,88.5,0.785
COURSE_27,03_ダ_中距離,prev1_corner4,03,466,69.3,77.7,0.734
COURSE_27,03_ダ_中距離,prev1_corner4,04,484,78.4,87.0,0.74
COURSE_27,03_ダ_中距離,prev1_corner4,05,404,150.4,89.7,0.709
COURSE_27,03_ダ_中距離,prev1_corner4,06,416,123.4,82.9,0.714
COURSE_27,03_ダ_中距離,prev1_corner4,07,354,56.1,66.4,0.685
COURSE_27,03_ダ_中距離,prev1_corner4,08,371,63.2,94.8,0.694
COURSE_27,03_ダ_中距離,prev1_corner4,09,365,87.2,64.5,0.691
COURSE_27,03_ダ_中距離,prev1_corner4,10,316,29.6,59.2,0.664
COURSE_27,03_ダ_中距離,prev1_corner4,11,295,54.9,36.7,0.652
COURSE_27,03_ダ_中距離,prev1_corner4,12,281,249.5,116.3,0.642
COURSE_27,03_ダ_中距離,prev1_corner4,13,233,16.3,37.4,0.607
COURSE_27,03_ダ_中距離,prev1_corner4,14,183,51.2,86.9,0.56
COURSE_27,03_ダ_中距離,prev1_corner4,15,179,34.2,43.3,0.556
COURSE_27,03_ダ_中距離,prev1_corner4,16,117,19.2,12.3,0.476
